AIRCRAFT_TYPE_mvt,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
A320,56148,954.3506091045095,954.3167848641631,0.03382424034635345,-18.776850718601338,244.90998270877876,152.01780329572355,244.9078041024211,431.90568450019566,3367747635.786633,0.15102333880673022
B738,36034,991.0695454293168,990.498809909903,0.5707355194136876,-16.52091727466035,288.3936693754192,155.02635072275118,288.39023241387855,441.76436058632936,2996909084.951471,0.13439344780473003
A21N,23832,1086.687982544478,1078.2413572386865,8.446625305791414,-12.69052442177832,299.8357909716034,171.79733831781954,299.9484534459406,481.424588705456,2144142988.8369436,0.0961519888284505
A321,26271,934.3989570248563,932.5310814134976,1.867875611358659,-21.480938933043376,243.44245458166822,153.08534120122883,243.44498715695235,426.7447035567495,1556962946.208237,0.06982047586823065
A20N,26943,1025.222506773559,1026.491545857974,-1.269039084414918,-11.881433025198248,236.49512893241507,153.56187261985684,236.49414497424786,432.1458727935561,1506907995.9971104,0.06757581073229232
A319,21546,960.3760326742782,960.6336595443266,-0.25762687004835527,-16.0711618870572,238.59311305888193,148.64302639369774,238.58771525654035,421.5297556658269,1226486612.735805,0.05500058890661298
B77W,11507,1217.3039019727123,1228.2941963601893,-10.990294387477228,-27.73641166273751,283.2907069843884,185.73782097504485,283.49151116678104,521.6507714597836,924788096.4500144,0.04147121492432701
B789,10132,1233.006711409396,1245.5572626544133,-12.550551245017223,-26.170415944954243,267.0462089099936,175.22270396354068,267.32780545550753,496.261298808784,724074824.2317716,0.03247042514093731
A359,9469,1152.2192417361919,1158.0682799700717,-5.8490382338796305,-21.978065034684278,271.2772590464002,177.26187072703536,271.3259860486801,504.442480404713,697086860.1883771,0.031260176369883715
A333,8019,1127.6772664920813,1129.8741202559443,-2.196853763862967,-24.821157819371138,277.26197740831344,183.0280174457916,277.25339272093464,502.68199820180786,616416069.6338806,0.02764257390933807
BCS3,11735,947.9415423945462,952.1504661204515,-4.208923725905212,-18.787495789673585,217.67584573462574,145.8948353862079,217.70726015493784,396.75606673708484,556197353.9421325,0.024942124681557147
E190,12553,802.0191985979448,801.983609999825,0.03558859811962951,-12.327098216722277,202.79480291448004,124.82215557740385,202.78672833313001,348.5433416047089,516210205.0816504,0.023148940220197957
B38M,7603,1147.6369854004997,1152.0871987021164,-4.450213301616679,-20.988372670292165,253.32036157296332,159.32162210905494,253.3427909727866,429.2248132172965,487980077.7171095,0.02188298785362867
A332,5461,1118.1360556674601,1112.7320893571882,5.4039663102720255,-25.750583688770007,298.75961185677005,197.29709925704526,298.7811306463414,592.2176741680216,487504365.76950186,0.021861655018034186
B772,5560,1294.085251798561,1295.2691084894736,-1.1838566909125778,-12.228338362385443,279.4387095497959,184.06388538248117,279.4160869890696,509.9172108535723,434087824.15565515,0.01946624261352144
A339,2789,1318.1566869845824,1308.8612873217123,9.295399662869874,-21.539791307435735,353.4401238034398,201.90652123297374,353.498989178141,581.6363599876853,348517722.09105927,0.015628935334762294
B788,3797,1186.2897023966289,1189.960270594543,-3.670568197914129,-11.608501857770989,291.98373229388136,177.82058189428565,291.9683542343169,500.02539728719063,323677238.96270025,0.01451498823856286
A388,2445,1449.9100204498977,1461.1873125656905,-11.277292115792934,-23.094977524523983,307.3124669735335,198.97301204707134,307.4565067102023,589.9532038063547,231124636.10258746,0.010364557561793133
B77L,2895,1107.693609671848,1098.6549896956408,9.038619976207197,-8.590492029529173,259.1098665655869,176.97243819579458,259.222739377406,510.84067123382437,194533660.8268954,0.008723671173036525
A35K,1747,1463.6926159129937,1485.786763046825,-22.094147133831257,-31.627097905154415,323.4685829929468,198.60799725418758,324.1298862762972,552.4129443910313,183540140.01106694,0.008230677517215906
E195,4796,783.6657631359466,774.1359393027552,9.529823833191461,-9.423082463620403,193.71554359395338,132.80099130739387,193.92963929025177,373.0042071727662,180371349.1572054,0.00808857620010857
CRJX,4867,826.8154920895829,821.7171136834378,5.09837840614522,-16.4161588186077,190.08990172693075,122.21035675298121,190.1387385038561,340.1736298366941,175955384.9951704,0.007890546619532347
B739,3180,970.2072327044025,968.3445150083506,1.8627176960518634,-16.586657399822855,233.42403726602134,155.1875171352749,233.39476575722063,430.19859832132516,173224511.0515199,0.007768083256646171
B763,2214,1174.20054200542,1176.348230633124,-2.1476886277038854,-20.8469698516368,266.27967904318024,175.80830668693804,266.228199769263,486.51986971601815,156922683.93617505,0.0070370438125239255
B764,825,1255.6036363636363,1278.681006597894,-23.0773702342576,-42.64779933409636,417.68689951188867,189.46408078209936,418.07109626288644,485.3005032592698,144196339.2626226,0.006466343370786044
E295,4404,805.7120799273388,792.453146035571,13.258933891767764,3.838440433772689,173.429241548089,122.74545620004137,173.9157023368647,332.47177362132766,133206341.37110697,0.005973507697050077
B78X,1832,1275.335152838428,1261.97625376417,13.358899074257803,1.927765237816402,248.18961771615506,166.25396311503508,248.48123292714084,486.1492155691549,113113035.15032938,0.005072443092065486
CRJ9,3542,578.9666854884247,568.3261938022933,10.640491686131192,-7.164169239152557,164.7934311367416,109.83162373565763,165.11337894682578,298.8656561956702,96563519.64743732,0.004330296305197739
A343,1193,1063.7225481978205,1070.4914929159086,-6.7689447180880356,-40.65118921757971,278.67404821470944,173.41324134937776,278.6394588259673,443.15545277778983,92624457.98168972,0.004153652949203563
BCS1,1764,843.718820861678,832.794558288633,10.924262573045096,-3.031576582465675,228.69213190094524,148.51103090224123,228.88814326738319,422.2310194153625,92415575.67448018,0.004144285827060199
B734,558,1033.7437275985662,1055.7424199744817,-21.99869237591516,-31.004999637009007,388.0442869006998,232.45401336519754,388.3200450084452,760.9187696521446,84142191.2042914,0.0037732740170770525
B737,1702,841.2426556991775,836.8944937716926,4.348161927484787,-10.326129143734988,220.83465726605047,136.5186683307896,220.81258805778273,408.3604080285689,82986454.77420884,0.0037214461507022404
