airport,hour,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
LIRF,20,1781,1116.8001122964627,1139.2341652544742,-22.434052958011325,-68.09526491330485,785.1034981819525,249.1916966476684,785.2036034740696,603.8174705047959,1098066108.7563305,0.04924169739225725
LIRF,14,1583,1293.795957043588,1243.1669272008676,50.62902984272042,-0.9853446154279482,499.714996631372,277.1887916053154,502.11615043233473,826.7801483488381,399106954.9550544,0.017897559852111895
LIRF,12,1868,1289.4550321199144,1262.1891738991496,27.265858220764617,-5.755915218387031,453.61251270952886,261.5318379608544,454.3100114569899,722.7706841919088,385550691.60077393,0.017289642521326344
LFPG,10,2702,1223.6794966691339,1214.4420375795823,9.237459089551587,-24.155837322833918,377.0771700233652,206.1201878553913,377.12053757412804,583.3058824169431,384278169.4222585,0.017232577512635416
LIRF,11,1422,1395.0738396624472,1359.5779403023585,35.49589936008877,-26.77260787496948,492.67911179129356,302.53778032556056,493.78332086099624,940.5260327270611,346714838.4398503,0.015548086786138176
LIRF,10,1349,1402.0578206078576,1373.205494145315,28.852326462542585,-18.861236050779553,485.16778498714524,292.20243168375686,485.84539285779505,918.4150190783379,318425711.0317849,0.014279488620498876
LIRF,16,1559,1018.4162924951892,1028.4982546527592,-10.081962157570024,-38.71115918078442,442.80600406391596,222.91570198106228,442.7787620111056,563.3924235334218,305646677.02532804,0.01370642537731763
LIRF,13,1485,1255.1824915824916,1252.7092901811486,2.473201401342706,-33.417574550830295,451.1311237649609,261.679759861601,450.98598373687116,805.0164726182361,302031710.92776346,0.013544315769125502
LIRF,8,2075,1294.4043373493976,1322.152818081376,-27.74848073197853,-53.38156261071413,369.1409652395307,249.46864977997078,370.09371853116073,734.2156620573625,284211423.0296607,0.012745182440882508
LTFM,14,2191,1069.8795070743952,1026.2929678370429,43.58653923735247,-6.678262605468035,349.91437794783445,201.97810346672887,352.5393241981955,561.5204241977162,272306189.4575098,0.012211303920938053
LTFM,5,3721,1143.9930126310132,1150.7399341866985,-6.746921555685241,-32.816114346901486,269.6843328763551,193.38069496640884,269.732487152247,539.7384469528804,270723642.0208794,0.012140336133696437
LFPG,11,2696,1138.3586795252224,1140.8595971292057,-2.5009176039830634,-32.142661673965506,315.39908530803297,200.3994488779311,315.3505030274121,554.2139081212556,268106253.59199446,0.012022961917385253
LIRF,18,1123,1102.4229741763133,1100.741681739343,1.6812924369703466,-49.263023874721284,487.0654221094367,258.8805007671687,486.8514178589469,659.2301522988322,266178292.34903276,0.011936504386866033
LFPG,9,2859,1171.5501923749562,1169.0373257189146,2.5128666560414588,-24.601556514780896,304.1150596792281,199.25304188496332,304.07225286120536,537.4605210225119,264342954.05089393,0.011854200441439896
