airport,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
LIRF,26131,1197.8923500822777,1193.2995317050895,4.5928183771882845,-28.027665372248975,463.0167763247123,248.359078094193,463.0306954364785,718.6184366450176,5602419110.490158,0.25123498877113026
LTFM,45882,1068.711978553681,1066.5677565412605,2.144222012420581,-24.20105049097475,268.5488404913075,184.44813904811008,268.55447416148843,511.4936041288484,3309078919.57919,0.14839239778519994
LFPG,38732,1045.6297893214912,1048.6532201558155,-3.0234308343241456,-24.702353220477335,283.46498603113236,173.68529734968928,283.4774503654357,487.0628861298418,3112482793.17783,0.1395762373668531
EGLL,39744,1378.2876409017713,1399.1016604055926,-20.814019503821154,-25.50960540830431,257.71775306138125,174.79125635330243,258.5536549625734,464.44729226088805,2656886101.701625,0.11914545069956034
LEBL,28490,955.520358020358,952.4388846765784,3.0814733437796575,-21.294770866971305,233.3040752691851,150.11607946656923,233.320330216817,434.09302204605217,1550949346.2708843,0.06955080187866676
EDDF,36231,873.1551433854986,870.3082831174386,2.84686026806012,-17.182612129440088,205.11492073471027,132.2911819529706,205.13184565603422,358.85642125902166,1524566933.7986574,0.06836770847374737
EHAM,40141,799.1578685134899,795.7195043398671,3.438364173622887,1.1985380562498449,185.59001240937792,119.22135609036906,185.61954904500422,349.21861817410615,1383042780.5020907,0.062021196661067965
LEMD,35019,1009.3337902281619,1019.3973579440208,-10.063567715858781,-25.372430723093885,187.75417365981443,131.6661007184329,188.02100541932538,359.68691686273377,1237988132.8323882,0.05551636329180767
EDDM,26854,830.4989200863931,810.146500419642,20.352419666751,-1.2680683567593292,194.79615175396663,131.49253016871836,195.8528751211293,376.54752204330646,1030075095.807533,0.046192707118976106
LSZH,21822,759.584914306663,754.481542474742,5.103371831920988,-15.45348753691816,202.12203946473582,132.3683203747716,202.18182689173463,360.5720982140771,892028611.335846,0.040002147952990404
