airport,RUNWAY_mvt,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
LIRF,25,22417,1155.8307534460455,1152.724428059023,3.1063253870225154,-28.467170542526446,467.0368380523374,243.366602860037,467.03675132452486,689.6899403478571,4889670623.326452,0.21927248210433664
LTFM,35L,13849,1141.2181384937542,1127.0027851359912,14.21535335776283,-20.310702416770596,321.5485761626593,217.71637868730102,321.85104836021316,610.6407183801632,1434591559.9310403,0.06433285110276227
EGLL,27R,16888,1406.5247513027002,1430.3599331866767,-23.83518188397656,-28.21374235167798,267.536289622769,177.35400934700775,268.58805614662634,474.6939002675159,1218292617.4612784,0.054633137227224744
LFPG,26R,15335,993.0157156830779,1001.3806371474935,-8.364921464415577,-30.05685228514426,275.2875690755942,170.8297037629022,275.40565671428215,474.3047912599635,1163133308.6297007,0.052159572136570125
LEBL,24L,21982,955.7936948412338,952.6038537264704,3.1898411147632095,-21.220194401062997,228.10500770511464,144.84693679761008,228.12212212698134,410.5599465816895,1143936742.6349156,0.05129872096727549
LTFM,36,20376,949.2606497840596,942.5971024943409,6.663547289718926,-19.644901400341894,232.97317762645193,162.6740768135343,233.06273964151967,439.4134682080749,1106788470.6532788,0.04963284315447528
EGLL,27L,16603,1356.5694151659338,1372.3401103490328,-15.770695183099017,-21.533067587512733,240.49053935725004,166.7761379327907,240.9998566351313,435.2096652482355,964317695.7020481,0.04324388102237319
EDDF,18,23261,911.4038949314303,906.5900446319979,4.813850299432465,-14.168239171951996,198.26564277874033,130.84882722161555,198.31981328053266,359.0623079845964,914872537.1280249,0.04102656139416626
EHAM,24,15125,687.9278016528925,686.4147654994106,1.513036153481895,-0.523626613705801,197.80251331254294,117.49981425336692,197.80176116289365,349.2526437118672,591773742.8770293,0.026537512941218103
LFPG,08L,7392,1067.292343073593,1073.8668023340092,-6.574459260416063,-29.293475510470728,279.7482822803528,180.3040635479803,279.806608130904,508.9953477055672,578732526.9539077,0.02595269240719692
LFPG,27L,7529,998.0379864523841,1007.2166071044654,-9.17862065208123,-21.791900545515773,266.6986370786673,159.9462423712499,266.8388331388393,444.8940031192596,536087107.45498586,0.024040300406946442
LFPG,09R,4778,1214.906446211804,1192.408794237309,22.49765197449516,-5.257106837418007,331.9727033887965,191.90469878854233,332.69949634217676,567.9201999782058,528871826.3513633,0.023716738204387383
LIRF,16R,2413,1519.8785743887277,1495.1801733928367,24.698400995891102,-25.711477960866887,461.3971296239507,294.7650438725566,461.962224729376,946.7888700249069,514956151.24659455,0.023092703406251153
LEMD,36L,13486,941.8651193830639,948.5985560061989,-6.733436623135075,-22.214552395372266,192.70733667695495,133.00971092125855,192.81779767098558,367.882188158089,501391989.98892164,0.02248443190173619
EDDM,26L,11314,786.5665547109776,768.8471287696204,17.719425941357148,-7.915312302268603,205.5284265195379,137.14193113561532,206.28179406997688,389.6968263149319,481435348.2813366,0.02158949588277135
EGLL,09R,6231,1359.9223238645482,1385.429090699042,-25.506766834493664,-30.195399999636948,273.0274278426968,188.69184830576748,274.19447132241817,515.3090828100594,468462831.09465575,0.021007756076189134
LSZH,28,12976,704.7127003699137,697.7946012290373,6.9180991408763415,-12.145379060415394,188.15659020473814,123.72144317148762,188.27648338568255,330.52653293566607,459973691.7283237,0.020627068949554225
EDDF,25C,9731,792.8050560065769,795.0338931707117,-2.2288371641346605,-25.175275635452067,216.7090026904836,135.3721867536325,216.7093294274575,354.3879565219159,456996305.5080013,0.02049355098546093
LEMD,36R,12634,1084.735079943011,1085.6874675662168,-0.9523876232061189,-16.908809032368822,178.3249475087847,124.56471189287268,178.32043333698718,343.4022815400076,401738167.52933186,0.018015553998661067
LTFM,17R,3970,1358.6231738035265,1373.4991023867829,-14.875928583256355,-36.53432889995736,302.45187336533303,216.43018365431885,302.7794359822683,607.6524501526437,363951285.8093498,0.016321038358651202
LEBL,06R,6015,941.561429758936,935.5305459907767,6.030883768159296,-19.020492404925335,244.93100647721567,163.17493767638607,244.98488911354391,484.9851356634297,361005839.30226207,0.016188952699663542
EHAM,18L,10333,764.0206135681797,753.9777743779273,10.042839190252348,8.396439877782313,178.8015985419973,119.04378660251386,179.07477848171413,345.8842745064391,331356332.38674545,0.014859349649609393
EDDM,26R,8155,842.5281422440221,819.492330944059,23.035811299963136,3.340549453583776,187.80428026987818,123.83561854003315,189.20034693684153,355.9692682033648,291922669.7967279,0.013090985737052908
LFPG,27R,3393,1095.3577954612438,1089.9987405293255,5.359054931918272,-16.875438967492755,291.28209867811967,177.2139917879665,291.2884730103105,464.51925471334766,287892570.5079458,0.012910259888165973
LTFM,18,6043,1044.4029455568427,1070.8567310214569,-26.4537854646142,-41.45049156837513,210.63051335618522,154.57911806044152,212.26793053736463,407.3178014260561,272283526.00408125,0.012210287600602972
EHAM,36L,8909,1096.496352003592,1099.4043431492933,-2.9079911457013554,-4.116331142133845,174.53516763390812,123.99097918117637,174.54959712250258,355.7640359031497,271435508.5717895,0.012172259090797161
LSZH,32,6403,755.9058253943464,757.2073331648886,-1.3015077705421612,-22.044484660761782,188.17300753923303,129.76908728843486,188.16281410573853,353.27177373307245,226699781.25185716,0.010166129287004558
LEMD,14L,5258,1063.6150627615064,1089.7725518575917,-26.157489096085357,-44.73880260712775,192.67766671666382,137.115505228585,194.42694483526407,352.373039928502,198762058.30439156,0.008913289509656416
LSZH,16,2059,1085.3181155900922,1068.6618221871731,16.65629340291927,-18.60719930473101,298.25441341268726,188.4281905390237,298.6468213145738,468.2278651107283,183642053.27159458,0.008235247717402527
LIRF,34L,1205,1292.6066390041494,1298.4070809188618,-5.800441914712332,-23.78798358579695,373.90212035673864,240.82900895708147,373.79194990817365,694.4240309144576,168363108.28846627,0.007550078419003658
EDDF,07C,3141,831.9958611907036,829.3101127160489,2.685748474654818,-16.287508289186917,215.36387598919964,132.09812556106328,215.34633922769925,375.91875292221243,145660877.9167607,0.006532019169949003
LEMD,14R,3641,919.2079099148585,949.9797881470081,-30.77187823214944,-39.3077599184727,190.8974058489548,143.4612257699137,193.3357683165698,381.9764838709742,136095917.00974298,0.00610308788175399
EDDM,08L,3445,830.8084179970972,805.438439944078,25.369978053019107,-0.33381897818037487,192.32145945086793,135.27142961778253,193.95990040282166,389.61178636312485,129602426.01191874,0.005811893648379137
EDDM,08R,3940,931.4852791878172,913.5132799272674,17.971999260549833,5.079886913684675,178.7392451566099,127.81397260283751,179.61793328832456,348.4400683124328,127114651.71754992,0.005700331850772715
EHAM,36C,4519,735.2075680460279,733.0053041036884,2.202263942339385,1.9009085941269745,156.85580271654476,110.06671810064374,156.85390751220154,323.5253217780167,111181627.17604333,0.004985830996261434
LTFM,34L,1145,1377.955458515284,1381.1015255206285,-3.1460670053445825,17.993500688485483,271.41509011699077,197.61881241753295,271.31478328854405,499.16923719615664,84285409.81739151,0.0037796965152772765
EHAM,09,219,1213.324200913242,1078.398502637962,134.9256982752801,-4.248757160526111,476.8174124093548,288.89026355009173,494.49129300289525,1303.6861441317885,53550238.90939286,0.002401407928568127
LEBL,24R,326,1216.0276073619632,1259.5088096415266,-43.48120227956324,-63.654297138787115,295.0780569286575,226.8805549508169,297.8163620292599,619.1271131430849,28914434.87050388,0.0012966394653360844
LTFM,35R,260,1033.3961538461538,1088.3486402063775,-54.952486360223354,-93.90273713687395,307.58877188390176,228.71416862906173,311.87616204455935,571.0721225270318,25289352.517427504,0.0011340762035900555
LEBL,06L,167,913.7784431137725,940.2982379807365,-26.519794866964006,-68.98607982486556,319.77852316235163,223.4816064674521,319.9207374065816,522.8483078754106,17092329.463202752,0.0007664887463916461
