airport,STAND_mvt,n,mean_y,mean_pred,mean_resid,median_resid,std_resid,mae,rmse,p95_abs,sse,sse_share
LIRF,234,228,1391.1929824561403,1302.795223605857,88.3977588502833,-41.86211542993664,1947.0912481070698,378.5530489668331,1944.8266191369357,835.0266548540891,862375931.8988217,0.03867240263432164
LIRF,311,530,1132.8943396226416,1150.9957117558054,-18.10137213316365,-63.82409379068508,536.759128136665,268.9541370109433,536.5579342952774,741.7686296536772,152584040.93326408,0.0068424816234728975
LIRF,304,545,1137.4532110091743,1094.7648906581412,42.68832035103332,-22.225871441147774,500.5563659134642,258.3151428542867,501.9155617548634,725.3114896544515,137295980.96677655,0.006156903572587515
LIRF,303,533,1121.4165103189493,1082.6199486827954,38.79656163615383,-31.554876642445493,499.9525621571543,267.38914251571737,500.9878076836605,778.7865246459965,133777021.57761365,0.005999099291046526
LIRF,314,217,1248.069124423963,1157.8505969223904,90.21852750157268,-0.8079165535048105,780.0077484136178,268.82598399930595,783.4205307181649,891.3372746366858,133183256.96530865,0.005972472499518948
LIRF,315,191,1262.586387434555,1177.14932690208,85.43706053247526,-16.26716345522948,832.2918513374772,341.4020274773076,834.4953352919842,902.4092264690986,133009050.7431995,0.005964660392393027
LFPG,K38,129,1346.6356589147288,1260.2811957200615,86.35446319466699,-66.28973824667742,941.5003720427126,305.56062513226334,941.8113123813371,617.366689048495,114424102.7086999,0.005131236630501169
LIRF,305,556,1096.4496402877699,1111.6285765364348,-15.178936248664954,-49.59998329079832,444.67234148603967,240.59892215579325,444.5315012601805,643.7835936103713,109870190.12062219,0.004927020888093009
LIRF,831,61,1981.016393442623,1736.5019242736585,244.5144691689645,-106.39946670592019,1242.263517735347,734.8579034740242,1256.0681935216667,2903.9499135571205,96240145.71338378,0.00431579491837027
LIRF,306,559,1086.0393559928443,1077.4074009730202,8.631955019824197,-38.43893233879987,410.80294928446216,239.40018936275249,410.5261005355697,734.5545290951128,94209208.68450582,0.004224719539755766
LIRF,824,71,1997.9295774647887,1725.5758511731992,272.35372629158945,-8.54437613815844,1104.9795494844286,514.2804097231594,1130.4686896791384,1965.0370778891438,90735121.54248562,0.004068927510116089
LIRF,312,519,1143.8285163776493,1141.229750576949,2.5987658007002534,-40.07739904542109,414.0934022344908,231.50377384320944,413.70243842016407,613.9984753061136,88826698.22093584,0.00398334613851496
EHAM,D41,379,833.7889182058047,804.168534209631,29.620383996173537,14.84199478958817,477.7295677760748,130.07494946697247,478.0174984976833,363.8522250284493,86601776.24172342,0.003883571695111142
LIRF,313,505,1159.621782178218,1134.6619971862763,24.9597849919416,-9.263402544106157,393.47523008194844,215.89995769004562,393.87709737768745,582.7465172829671,78345279.75852951,0.003513317210336865
LIRF,302,550,1085.86,1092.0270626838653,-6.167062683865378,-31.616839166815225,375.17045521728727,221.40314179641803,374.87996588261626,653.0980721018382,77294243.85108334,0.003466184536183504
LIRF,501,505,1134.9742574257425,1143.407503289121,-8.433245863378426,-31.128459726652636,384.2294395985079,208.01256699251041,383.9414548816017,544.0314812464211,74442575.5921835,0.003338304270734922
LIRF,310,549,1085.422586520947,1106.9661993602879,-21.54361283934058,-53.59593123990089,365.99666788676046,221.07662009001078,366.2972735377379,588.6218424266004,73661357.23804805,0.0033032713000559666
LIRF,308,553,1111.0886075949368,1090.4110565763267,20.677551018609805,-9.110339223374012,363.95442821846257,216.7025229777511,364.2126466622518,604.0589324723762,73355921.14976342,0.0032895743183241283
LIRF,805,160,1563.1125,1416.5132618789212,146.59923812107883,11.558948123329628,662.5162030515688,372.53411282041327,676.5173742616569,1836.4010422836718,73228121.22846186,0.0032838432562311425
