rank,airport,STAND_mvt,RUNWAY_mvt,hour,y,pred,resid,abs_err,p_cal,aobt_eobt,mvt_aobt,queue,dep_15m,dep_rwy_15m,AIRCRAFT_TYPE_mvt,WK_TBL_CAT_flt,month
1,LIRF,234,25,20,87002.0,58248.494306466666,28753.505693533334,28753.505693533334,57480.61784753126,-180,87181,11.0,10,9,B738,M,7
2,LIRF,314,25,16,11165.0,1417.919845994464,9747.080154005536,9747.080154005536,1875.6694557413966,2460,722,9.0,8,8,A321,M,7
3,LFPG,K38,27L,17,15059.0,5333.334463397346,9725.665536602653,9725.665536602653,2020.1704329872375,6000,658,7.0,7,3,B764,H,7
4,EHAM,D41,24,13,10972.0,2183.0700414791568,8788.929958520843,8788.929958520843,3026.541298193777,1080,7796,6.0,11,7,A320,M,7
5,LFPG,I48,09R,22,9773.0,1827.6427479095294,7945.357252090471,7945.357252090471,1827.540376082575,3720,1433,0.0,3,0,MD11,H,7
6,LFPG,K70,09R,10,9961.0,2358.42634314099,7602.57365685901,7602.57365685901,2089.362186898309,3720,1082,12.0,6,2,A339,H,7
7,LIRF,315,25,14,9172.0,1678.2095981249197,7493.7904018750805,7493.7904018750805,1544.7455598906856,1320,956,8.0,9,9,A21N,M,7
8,LIRF,824,25,23,8208.0,773.6533074115017,7434.346692588499,7434.346692588499,1779.6644714950442,1260,1014,3.0,4,8,A319,M,7
9,LFPG,K26,26R,10,8563.0,1646.2277122126964,6916.772287787304,6916.772287787304,1749.4175133277356,4020,941,7.0,6,4,A339,H,1
10,LFPG,J37,08L,9,7376.0,1393.8305710700113,5982.1694289299885,5982.1694289299885,1141.2674376332814,1860,833,18.0,8,6,E190,M,1
11,LIRF,908,25,17,6963.0,1205.146824031694,5757.8531759683065,5757.8531759683065,1298.1698103701933,480,841,6.0,8,8,A320,M,7
12,LIRF,317,25,12,7733.0,2024.2309217447869,5708.769078255213,5708.769078255213,2198.1561384874512,2940,896,10.0,10,5,A21N,M,7
13,EHAM,D53,24,12,6711.0,1320.2022383000285,5390.7977616999715,5390.7977616999715,927.7916535430757,4260,715,6.0,12,5,B788,H,7
14,LIRF,831,25,5,7992.0,2705.3609462675713,5286.639053732429,5286.639053732429,1975.7359777753552,960,1626,9.0,4,9,A359,H,7
15,LIRF,315,25,13,6656.0,1388.7205278473123,5267.279472152688,5267.279472152688,1173.8320179002744,540,898,6.0,6,9,A21N,M,7
16,LTFM,B18L,35L,14,6908.0,1750.510853848018,5157.489146151982,5157.489146151982,1936.1638899109257,3000,1204,17.0,9,8,A21N,M,7
17,LIRF,502,25,20,7020.0,2000.7564904387318,5019.243509561268,5019.243509561268,2523.5734751060572,3720,900,7.0,8,12,B738,M,7
18,LIRF,311,25,10,6848.0,1875.2343382046731,4972.765661795327,4972.765661795327,1629.5104397539646,1380,1084,5.0,4,10,B38M,M,7
19,LIRF,909,25,15,6960.0,2157.1680884406796,4802.83191155932,4802.83191155932,2851.866465478735,3240,1320,7.0,6,8,A21N,M,7
20,LIRF,311,25,19,6125.0,1478.1392820300298,4646.86071796997,4646.86071796997,1216.5549458665723,600,962,6.0,6,9,A320,M,7
21,LTFM,F4R,35L,14,6291.0,1660.7453616896337,4630.254638310366,4630.254638310366,1926.1917583780391,2820,1135,15.0,13,8,A21N,M,7
22,LFPG,D06,26R,14,6145.0,1569.8288356587097,4575.17116434129,4575.17116434129,1663.7565202390597,4140,801,12.0,7,5,A21N,M,7
