airport,n,rmse_base,mae_base,rmse_e16a,mae_e16a,d_rmse
LIRF,11980,328.6395139986792,203.20180162881067,321.7667845546691,194.03369753896663,-6.872729444010133
EDDM,11905,267.2989182746189,172.6759126131358,265.4126518135953,172.06582676444742,-1.886266461023638
LFPG,19465,265.81883064205107,168.75758430147795,266.7009841937161,168.41969758019866,0.8821535516650556
LTFM,22279,244.94722378901432,164.08562463977717,230.37974835545955,156.66683414108002,-14.567475433554762
EGLL,19873,235.6507462690579,167.16030906368908,236.06273000348352,165.95907995173044,0.4119837344256325
LEBL,13746,199.91954774062373,135.01051401223256,186.78111330134666,126.53363020719394,-13.138434439277063
EDDF,17228,195.18720893323794,133.61108010328815,195.06290673812325,131.01283974895506,-0.12430219511469431
LSZH,10484,186.66843464872025,130.62524570034012,190.1903166276602,130.04438039803844,3.5218819789399447
LEMD,17925,183.09531777499524,128.08106372034175,183.98327703338828,126.59409728296912,0.8879592583930389
EHAM,19143,169.19924620403586,114.86853615571763,173.1359901162693,116.2017436257623,3.936743912233453
