airport,n,rmse_base,mae_base,rmse_e16a,mae_e16a,d_rmse
LIRF,26131,463.0306954364785,248.359078094193,451.8633756506558,239.2501987750275,-11.167319785822656
LFPG,38732,283.4774503654357,173.68529734968928,283.8814729634122,175.8250200404807,0.40402259797650686
LTFM,45882,268.55447416148843,184.44813904811008,264.7245966338997,183.44404505272087,-3.829877527588735
EGLL,39744,258.5536549625734,174.79125635330243,258.55092714322984,175.45962881314753,-0.0027278193435336107
LEBL,28490,233.320330216817,150.11607946656923,228.90431841047413,148.96828247694663,-4.41601180634288
EDDF,36231,205.13184565603422,132.2911819529706,202.05489465862755,132.62425664930876,-3.0769509974066693
LSZH,21822,202.18182689173463,132.3683203747716,200.67653454850048,132.31385637045787,-1.5052923432341458
EDDM,26854,195.8528751211293,131.49253016871836,195.6755307458011,133.1015904737663,-0.1773443753282038
LEMD,35019,188.02100541932538,131.6661007184329,186.22316515012767,130.87827892533997,-1.7978402691977067
EHAM,40141,185.61954904500422,119.22135609036906,188.15425851159588,120.53164141328551,2.5347094665916643
