feature,gain
mvt_sched,470140536626.0
type_null,199063512002.0
aobt_eobt,98812457782.0
RUNWAY_mvt,95635360120.0
STAND_mvt,88007680870.0
ADES_mvt,67751716708.0
dis_state_30m,67382835442.0
mvt_aobt,65991499808.0
airport,54312675570.0
geo_mean,45290023686.0
arr_delay_mean_30m,43697835958.0
AIRCRAFT_OPERATOR_flt,42817454522.0
roll10_mean_mvt_aobt,21363481486.0
hour,19819433128.0
dis_frac20_30m,17506358342.0
month,15099402082.0
queue_rwy,12611197474.0
dis_state_vs_hour,11609846842.0
dep_60m,8172846086.0
queue,6661877450.0
AIRCRAFT_TYPE_mvt,6443298268.0
dow,4610427792.0
dis_frac30_30m,4276546650.0
dis_n_dly20_60m,3358200088.0
dep_15m,2932373676.0
