airport,n,mean_y,med_y,lirf_override,rmse_E18-0,mae_E18-0,mean_pred_E18-0,rmse_E18-A-geo,mae_E18-A-geo,mean_pred_E18-A-geo,rmse_E18-A-mean,mae_E18-A-mean,mean_pred_E18-A-mean,rmse_E18-A-med,mae_E18-A-med,mean_pred_E18-A-med,rmse_E18-H,mae_E18-H,mean_pred_E18-H,rmse_E18-B,mae_E18-B,mean_pred_E18-B
EDDF,96,1037.71875,1027.0,False,299.23714587593275,205.48689627406156,1055.765196824262,267.7370453939643,198.0626142178345,978.1313281047518,376.1152046285523,286.6951388888889,971.5166666666665,379.70084167231795,290.375,953.5,262.4614093094528,188.5122054026183,1022.6863565297008,276.4254748732542,202.5680367769016,988.7333059918728
EDDM,130,1687.2615384615385,1567.0,False,978.983930174392,699.8600079499307,1142.3423268524446,1257.5858442098006,912.8853425753207,827.8466012600254,1220.0666814269207,885.9202797202798,939.3409090909091,1277.770854923647,923.3076923076923,848.5,977.5326866779452,682.5968992957462,1115.0435474132564,1093.6835889527276,773.4413593023113,1038.8027659183306
EGLL,127,1452.748031496063,1382.0,False,524.9891985579353,345.55362676248444,1549.1702800859427,456.7585195807505,299.0780972855982,1297.407072816169,490.988332705919,362.45650936989534,1579.560994560995,479.28520432683314,327.74015748031496,1384.0,425.4227493744996,293.2427470577996,1541.545356219518,451.7390053514066,342.0362492937297,1606.3543670052084
EHAM,315,637.2444444444444,538.0,False,268.3403272422437,174.75903473541993,588.1095992632037,275.5740242375239,172.26525198382396,583.7443889970682,507.05118969303004,404.8819964034079,597.0753515521358,514.9168125139475,403.5206349206349,539.0,263.1442857208442,169.08158584563688,595.4097328016234,361.81740115416756,238.21308258072438,590.1309711335499
LEBL,89,979.4831460674158,995.0,False,283.65015961378384,197.84167692574582,1010.6022608724913,222.91864427297537,153.9448678271333,969.8186198948067,336.33279301053204,256.82215758221014,1046.6520022560633,335.4347171033467,256.24719101123594,1042.0,268.62844085194024,191.1607403951025,1011.2874534250401,246.43569837705599,187.4351357554388,1020.0558758457638
LEMD,60,1088.9,1049.5,False,395.1872021770831,274.7702556304196,1104.3209082087958,391.5699169099274,236.19715289159026,1010.7371684972366,468.7783043601063,315.1246148064637,1117.934611048478,467.9483945906856,312.53333333333336,1097.0,370.52787524920717,246.5156515752547,1082.7616572307913,429.9532231075783,277.71997070080766,1124.1765632571123
LFPG,313,1270.0830670926518,1072.0,False,810.1270216567783,407.577243382268,1152.4741396125917,858.4908196329916,412.3394498531783,1022.1321314707873,849.7450725231458,466.46726717021556,1175.9713872832367,880.4839886750349,454.31629392971246,1021.0,785.8346652830304,386.92917934364965,1131.4299395796243,782.5478446914371,381.0571018814733,1159.716322682959
LIRF,88,7705.613636363636,6034.5,True,2786.1434163308313,1229.6363636363637,8850.59090909091,2786.1434163308313,1229.6363636363637,8850.59090909091,2786.1434163308313,1229.6363636363637,8850.59090909091,2786.1434163308313,1229.6363636363637,8850.59090909091,2786.1434163308313,1229.6363636363637,8850.59090909091,2786.1434163308313,1229.6363636363637,8850.59090909091
LSZH,101,584.0990099009902,659.0,False,357.33330257793546,219.1801287536354,607.8200323575066,342.4491916746589,218.4204844546614,563.5689338358994,517.6718897153602,410.7291920972919,684.7296803652971,515.5201641099603,410.28712871287127,673.0,376.62501734708786,249.52529755438204,610.7221920315307,362.78600044539945,255.63993140587914,606.6207723560213
LTFM,330,1016.6696969696969,903.5,False,513.9562564056599,252.15137979298865,1031.8905678322349,567.7342879868675,307.71913966882664,1059.8958933132421,644.276965504736,483.0172996937702,1329.8657616892908,563.0347774392454,303.130303030303,1014.0,486.44456279454545,243.22607019322936,1022.7152850601747,560.1966761737467,324.8227196694516,1141.0008222022464
ALL_UNMATCHED,1649,1411.0545785324439,964.0,False,851.6397888255942,354.677925842913,1412.7047197006896,890.7996533384775,375.18892265898603,1335.7152201244471,926.371044839141,493.09789938888565,1467.0924489919344,927.6931036405018,454.8677986658581,1338.3687083080656,838.399660038236,341.9800081175346,1403.03378823839,866.5056337302101,383.44727816204454,1429.7991282847165
NON_LIRF_UNMATCHED,1561,1056.2043561819346,958.0,False,573.2089237147196,305.3529146156077,993.4004374032269,632.9682274911446,327.02020081016525,912.070722604237,684.7861347871468,451.5761922436082,1050.8542270260727,686.6741697769191,411.19090326713643,914.873798846893,552.2052913658516,291.9391629633662,983.184315698338,596.2801719858543,335.74411383037244,1011.4585282136436
LIRF_UNMATCHED,88,7705.613636363636,6034.5,True,2786.1434163308313,1229.6363636363637,8850.59090909091,2786.1434163308313,1229.6363636363637,8850.59090909091,2786.1434163308313,1229.6363636363637,8850.59090909091,2786.1434163308313,1229.6363636363637,8850.59090909091,2786.1434163308313,1229.6363636363637,8850.59090909091,2786.1434163308313,1229.6363636363637,8850.59090909091
