airport,n,mean_y,med_y,lirf_override,rmse_E18-0,mae_E18-0,mean_pred_E18-0,rmse_E18-A-geo,mae_E18-A-geo,mean_pred_E18-A-geo,rmse_E18-A-mean,mae_E18-A-mean,mean_pred_E18-A-mean,rmse_E18-A-med,mae_E18-A-med,mean_pred_E18-A-med,rmse_E18-H,mae_E18-H,mean_pred_E18-H,rmse_E18-B,mae_E18-B,mean_pred_E18-B
EDDF,599,1005.068447412354,971.0,False,377.0720148749763,256.21125439984365,1057.481378450128,339.0336736003524,208.42714577354155,921.8627373362411,420.01033319998555,303.2720070173453,961.3898305084746,420.9655349741355,303.550918196995,953.0,348.5008141131154,233.04474540108916,1044.664382264739,374.5826391876299,251.8117932672037,1035.7834814613848
EDDM,237,1006.1392405063291,890.0,False,632.5450641541762,298.2018354349689,948.0028495319725,692.2363482637134,311.7733500477809,811.683962658643,697.9893164241413,375.7984181309053,1044.6429495472187,706.373551979906,332.5822784810127,891.0,613.8853904615004,277.19023939574583,952.8157743159619,641.9199077630336,312.94715897563674,977.2528331351868
EGLL,466,1704.7210300429185,1434.5,False,1156.18073484143,497.6491625182246,1531.1092707625337,1201.2193275480183,492.13394920907814,1352.4619981802828,1192.4503283605777,517.3343021676536,1501.0485232067508,1220.8579513354762,516.0472103004291,1373.0,1139.0176607919698,494.03786690994224,1557.0748968631615,1108.712829870272,549.1595029282773,1713.0830131476473
EHAM,808,742.1101485148515,659.0,False,583.6549740365351,244.26554450503306,695.763690267694,635.6862362408328,241.78548974277064,622.1705281180406,748.3277333271981,440.4258287092446,565.1660561660563,766.0413098301792,452.2561881188119,501.0,565.6473868712784,240.7221842911163,718.7582581562267,573.3748419693727,255.6114761849236,704.5646968251363
LEBL,496,1055.6189516129032,1058.0,False,381.96978683083023,245.3357593393691,1142.5840877014184,308.38335336971784,196.86867547154742,1025.1367469782542,373.5672450364363,280.7554904831625,1039.0197657393853,373.85318189484923,280.945564516129,1033.5,338.59258624404424,222.70401121019214,1137.6797831531946,352.712203626924,227.92866430685584,1122.5395197837577
LEMD,309,1149.977346278317,1106.0,False,267.2583830463483,198.9762486115596,1185.1600209832875,255.50849187967174,172.25517676621254,1070.4193373289086,338.0812325165842,252.80001724645177,1099.6849529780563,341.0612660752148,253.60679611650485,1082.5,248.512705305632,186.9527071680633,1170.4867414442683,251.12066173306593,187.29897177463454,1183.0782618199455
LFPG,880,1294.5204545454546,1025.5,False,3444.673262141616,484.72144454163777,1127.7641589020936,3451.6457108325994,482.4459237623188,991.697266700106,3447.3919722029927,528.6782657197624,1150.0929830625648,3455.129449620718,514.0954545454546,1022.0,3439.301291936121,461.88785149143183,1128.6041877488854,3445.386235575544,460.89456164691325,1153.9726799430357
LIRF,397,6272.493702770781,1447.0,True,6032.69683773519,4228.75314861461,9587.21662468514,6032.69683773519,4228.75314861461,9587.21662468514,6032.69683773519,4228.75314861461,9587.21662468514,6032.69683773519,4228.75314861461,9587.21662468514,6032.69683773519,4228.75314861461,9587.21662468514,6032.69683773519,4228.75314861461,9587.21662468514
LSZH,524,632.8206106870228,628.5,False,1016.9370648601167,319.68164307373985,742.2180396375687,640.2309650598796,235.03330586020778,600.1253035023659,703.1021519873872,376.0285449526302,694.3712507074135,702.7329773139867,375.3854961832061,690.0,648.9531090770233,279.5729733847035,698.8298520384492,632.4089234114302,266.8189986702084,702.6958921620461
LTFM,657,1146.324200913242,1012.0,False,624.1357271457067,335.3883624518286,1169.950469762447,639.6545417250834,319.87618012895604,1049.0595064196314,674.8849329506986,448.53543193575933,1335.6328647925036,662.1856527142357,331.4094368340944,1009.0,578.2323288367173,306.58044839701273,1158.754512634725,607.0556626690795,339.7826800162466,1212.0439258938122
ALL_UNMATCHED,5373,1456.8280290340592,976.0,False,2235.881208924138,619.7317792348009,1679.295612909722,2227.715147508108,597.616316490643,1563.2364987661965,2237.757563966183,692.502242785553,1655.3732141494804,2241.6298128375197,675.5854271356784,1564.0622557230597,2216.589114920439,601.4216523650415,1677.029535837776,2218.6225278694446,615.2664679069395,1698.8880394342168
NON_LIRF_UNMATCHED,4976,1072.6199758842445,962.0,False,1579.3787829623845,331.79337818098566,1048.3782813834277,1566.8692508005183,307.9134783971514,923.059627787535,1582.2456141935952,410.3696845833553,1022.5472828828694,1588.1531242013064,392.1031953376206,923.9512660771704,1549.7376259533175,312.0224152245515,1045.931409979174,1552.8763176787481,326.9718111061065,1069.5338496543504
LIRF_UNMATCHED,397,6272.493702770781,1447.0,True,6032.69683773519,4228.75314861461,9587.21662468514,6032.69683773519,4228.75314861461,9587.21662468514,6032.69683773519,4228.75314861461,9587.21662468514,6032.69683773519,4228.75314861461,9587.21662468514,6032.69683773519,4228.75314861461,9587.21662468514,6032.69683773519,4228.75314861461,9587.21662468514
