airport,n,corr_y_mvt_sched,rmse_geo_mean,mae_geo_mean,rmse_mvt_sched,mae_mvt_sched,mean_y,mean_mvt_sched,med_y,med_mvt_sched,n_type_null
EDDF,599,0.13360824499507154,442.0359702165018,314.8267554293536,8388.272404666619,6111.5242070116865,1005.068447412354,7052.171953255426,971.0,5967.0,0
EDDM,237,0.24000917354675486,724.8981437098364,340.74043163404315,5818.015471388543,5259.721518987341,1006.1392405063291,6265.860759493671,890.0,5757.0,0
EGLL,466,0.15000999387558656,1224.4621576576603,518.4774963458696,6348.321607292256,5730.942060085837,1704.7210300429185,7426.881974248927,1434.5,6657.5,0
EHAM,808,0.3094631553156609,728.3937400440436,448.56424058648764,7778.451577789747,4769.514851485149,742.1101485148515,5326.652227722772,659.0,5052.0,0
LEBL,496,0.13248773508020287,386.3525278088736,289.44105841313814,6969.963447802985,6023.076612903225,1055.6189516129032,7078.207661290323,1058.0,6189.5,0
LEMD,309,0.30073751595141723,360.4518546160474,264.88424547677187,6522.626044608058,5998.744336569579,1149.977346278317,7147.964401294498,1106.0,6444.0,0
LFPG,880,-0.02018531326733935,3455.994236928038,514.4388192687763,7903.608117283581,5651.382954545455,1294.5204545454546,6446.514772727272,1025.5,5884.5,1
LIRF,397,0.915765256966182,13460.173708719462,5345.6686533833,6032.69683773519,4228.75314861461,6272.493702770781,9587.21662468514,1447.0,6781.0,397
LSZH,524,0.3453636576992582,708.2565972122175,384.38998997796205,4362.926530035607,3226.9713740458014,632.8206106870228,3542.4332061068703,628.5,4245.0,3
LTFM,657,0.1797737860237961,655.5645844777537,335.1011682959242,3154.0365111308433,1787.579908675799,1146.324200913242,2707.882800608828,1012.0,1443.0,1
