airport,FLIGHT_mvt,flt_prefix,ADES_mvt,STAND_mvt,RUNWAY_mvt,AIRCRAFT_TYPE_mvt,y,mvt_sched,hour,month
EDDF,CK205,CK2,EHAM,K6,25C,B77L,4370.0,5826,17,7
EDDM,DLH494,DLH,CYYZ,250,08L,A359,6305.0,7502,16,7
EDDM,MGH272,MGH,LTAI,110,26L,B739,6899.0,8819,13,7
EGLL,VIR358,VIR,VABB,301,09R,A35K,4987.0,6603,13,1
EGLL,BAW17R,BAW,KJFK,533,27R,B772,4379.0,11399,11,1
EGLL,BAW700W,BAW,LOWW,309,09R,A320,5813.0,9176,12,1
EGLL,BAW1B,BAW,KBOS,592,09R,B78X,6126.0,7203,13,1
EGLL,BAW3ET,BAW,EHAM,522,27L,A21N,6241.0,6060,12,7
EGLL,BAW580M,BAW,LIMC,519,27R,A320,8220.0,10080,16,7
EGLL,DAH2055,DAH,DAAG,401,27R,B38M,3782.0,8221,16,7
EGLL,VLG78FZ,VLG,LFPO,421,27R,A320,4498.0,9479,16,7
EGLL,BAW606,BAW,LIRP,512,27R,A319,8518.0,10439,17,7
EGLL,ETD71M,ETD,OMAA,410,27R,A388,4078.0,15479,18,7
EGLL,AAL135,AAL,KLAX,327,27L,B77W,7255.0,8637,18,7
EGLL,BAW646,BAW,LGKF,517,27L,A20N,3835.0,4917,11,7
EGLL,BAW568J,BAW,LIML,511,27R,A320,4085.0,10202,17,7
EGLL,UAL263,UAL,KDEN,243,27R,B789,7141.0,7560,15,7
EGLL,AAL137,AAL,KLAX,330,27R,B772,7264.0,8042,15,7
EGLL,BAW15K,BAW,KJFK,566,27R,B77W,8464.0,9062,16,7
EGLL,BAW82P,BAW,KSAN,591,27R,B788,9901.0,10140,16,7
EGLL,SHT14L,SHT,EGJJ,515,27R,A320,11167.0,10563,17,7
EGLL,BAW362Y,BAW,LFLL,525,27R,A320,6472.0,6836,14,7
EGLL,BAW592,BAW,LIML,521,27R,A320,5571.0,6295,14,7
EGLL,BAW542W,BAW,LIPE,515,27R,A21N,5217.0,8098,16,7
EGLL,VIR300,VIR,VIDP,328,27R,B789,4860.0,6060,20,7
EHAM,HV6627,HV6,LPMA,D47,09,B738,3603.0,7291,8,1
EHAM,CD003P,CD0,LIMC,D93,09,B39M,3717.0,9763,8,1
EHAM,DL0047,DL0,KJFK,F04,18C,A333,3813.0,7937,10,1
EHAM,LH2301,LH2,EDDM,B23,09,A319,3749.0,8129,10,1
EHAM,DL0057,DL0,KSLC,E02,18C,A333,3903.0,8119,10,1
EHAM,DL0143,DL0,KSEA,E18,24,A339,3677.0,7514,11,1
EHAM,NCG01A,NCG,EHAM,HG01,22,DH8A,11032.0,-364,8,1
EHAM,Y87414,Y87,ZSNJ,S94,24,B744,3849.0,44293,8,1
EHAM,5Y8209,5Y8,RKSI,S77,18L,B748,3841.0,19246,11,1
EHAM,DL0143,DL0,KSEA,G09,24,A339,3659.0,9304,11,1
EHAM,DL0165,DL0,KMSP,E22,36L,A333,3646.0,7384,15,7
LFPG,AFR95PW,AFR,EGNT,J10,27L,E190,3725.0,8222,10,1
LFPG,AFR6732,AFR,KORD,M08,09R,B77L,5929.0,4854,20,1
LFPG,AFR52KV,AFR,LEVC,J05,08L,E190,3713.0,7496,10,1
LFPG,AFR15UT,AFR,LFLC,J30,08L,E190,4446.0,10443,11,1
LFPG,EJU983W,EJU,LFMN,C03,08L,A319,84240.0,1740,18,1
LFPG,EJU3806,EJU,LIMC,D08,09R,A320,3907.0,6183,9,1
LFPG,EJU42AY,EJU,GMMX,D06,26R,A320,58206.0,2043,15,1
LFPG,SAS9230,SAS,ENGM,D12,27R,A320,7437.0,10438,15,7
LFPG,ITY333,ITY,LIRF,D20,26R,A20N,3666.0,10083,14,7
LFPG,DLH3F,DLH,EDDF,X06,27R,A320,5289.0,10084,15,7
LIRF,RYR975,RYR,LIBD,907,25,,7327.0,7323,10,1
