airport,n,mean_y,med_y,rmse_H,sse,sse_share_overall,sse_share_unmatched,lirf_override
LIRF,397,6272.493702770781,1447.0,6032.69683773519,14448192161.000002,0.30254473989618164,0.5473010434704773,True
LFPG,880,1294.5204545454546,1025.5,3439.301291936121,10409338171.507853,0.2179712502780186,0.3943082691328912,False
EGLL,466,1704.7210300429183,1434.5,1139.0176607919698,604570333.923741,0.012659685889258422,0.022901271724562737,False
EHAM,808,742.1101485148515,659.0,565.6473868712784,258525228.749639,0.005413511061943605,0.009792998728245614,False
LSZH,524,632.8206106870228,628.5,648.9531090770233,220677432.1971051,0.004620979260315253,0.008359314962454222,False
LTFM,657,1146.324200913242,1012.0,578.2323288367173,219669675.3555404,0.004599876860228632,0.008321140887469141,False
EDDM,237,1006.1392405063292,890.0,613.8853904615004,89314699.6114303,0.0018702473127250767,0.003383262608213038,False
EDDF,599,1005.068447412354,971.0,348.5008141131154,72750237.64506501,0.0015233879422730631,0.002755796748284214,False
LEBL,496,1055.6189516129032,1058.0,338.59258624404424,56863889.971877545,0.0011907282661608822,0.002154018023196403,False
LEMD,309,1149.977346278317,1106.0,248.512705305632,19083396.491782084,0.0003996057889876728,0.000722883714206518,False
