slice,n,mean,med,std,p5,p50,p95,p99,max,frac_gt30m,frac_gt1h,frac_gt2h,n_gt1h,n_gt2h
EDDF_unmatched_val,599,1005.068447412354,971.0,417.73299896001396,452.5,971.0,1672.1,2338.6999999999985,4370.0,0.038397328881469114,0.001669449081803005,0.0,1,0
EDDM_unmatched_val,237,1006.1392405063291,890.0,696.9265027478397,464.8,890.0,1932.3999999999992,3227.839999999995,6899.0,0.05907172995780591,0.008438818565400843,0.0,2,0
EGLL_unmatched_val,466,1704.7210300429185,1434.5,1174.927783128104,962.25,1434.5,3403.75,7598.600000000022,11167.0,0.21030042918454936,0.04721030042918455,0.015021459227467811,22,7
EHAM_unmatched_val,808,742.1101485148515,659.0,727.1074092934846,102.7,659.0,1656.9499999999998,3658.0899999999992,11032.0,0.043316831683168314,0.013613861386138614,0.0012376237623762376,11,1
LEBL_unmatched_val,496,1055.6189516129032,1058.0,373.1982765132354,509.75,1058.0,1582.5,2157.800000000004,3137.0,0.024193548387096774,0.0,0.0,0,0
LEMD_unmatched_val,309,1149.977346278317,1106.0,334.31960001780413,642.8,1106.0,1759.8,2078.3200000000015,2339.0,0.042071197411003236,0.0,0.0,0,0
LFPG_unmatched_val,880,1294.5204545454546,1025.5,3444.3652703351163,546.95,1025.5,2095.3499999999995,3675.8700000000017,84240.0,0.07386363636363637,0.011363636363636364,0.003409090909090909,10,3
LIRF_unmatched_val,397,6272.493702770781,1447.0,12440.870585697012,641.6,1447.0,23228.799999999996,87170.28,88132.0,0.4256926952141058,0.37279596977329976,0.24433249370277077,148,97
LSZH_unmatched_val,524,632.8206106870228,628.5,700.4028518234168,-5.0,628.5,1281.1999999999996,2379.509999999995,9652.0,0.019083969465648856,0.0057251908396946565,0.003816793893129771,3,2
LTFM_unmatched_val,657,1146.324200913242,1012.0,647.7900142053116,653.8,1012.0,1934.9999999999964,4346.159999999998,7374.0,0.076103500761035,0.0136986301369863,0.0015220700152207,9,1
