tr_name,tr_n_gate,tr_n_bomb,tr_tp,tr_fp,tr_fn,tr_precision,tr_recall,va_n_gate,va_n_bomb,va_tp,va_fp,va_fn,va_precision,va_recall,dec_n_gate,dec_n_bomb,dec_tp,dec_fp,dec_fn,dec_precision,dec_recall,spec
nlu_ms<1800,4043,2,1,4042,1,0.0002473410833539451,0.5,788,2,1,787,1,0.0012690355329949238,0.5,386,0,0,386,0,0.0,,"{'name': 'nlu_ms<1800', 'unmatched_only': True, 'exclude_lirf': True, 'ms_max': 1800, 'ms_min': 0}"
LFPG_ms<1800,163,2,0,163,2,0.0,0.0,25,2,1,24,1,0.04,0.5,7,0,0,7,0,0.0,,"{'name': 'LFPG_ms<1800', 'unmatched_only': True, 'exclude_lirf': True, 'airports': ['LFPG'], 'ms_max': 1800, 'ms_min': 0}"
EJU_ms<1800,18,2,0,18,2,0.0,0.0,2,2,1,1,1,0.5,0.5,5,0,0,5,0,0.0,,"{'name': 'EJU_ms<1800', 'unmatched_only': True, 'exclude_lirf': True, 'prefixes': ['EJU'], 'ms_max': 1800, 'ms_min': 0}"
LFPG_EJU_ms<1800,4,2,0,4,2,0.0,0.0,1,2,1,0,1,1.0,0.5,2,0,0,2,0,0.0,,"{'name': 'LFPG_EJU_ms<1800', 'unmatched_only': True, 'exclude_lirf': True, 'airports': ['LFPG'], 'prefixes': ['EJU'], 'ms_max': 1800, 'ms_min': 0}"
nlu_ms<2400,4511,2,1,4510,1,0.00022168033695411216,0.5,895,2,2,893,0,0.0022346368715083797,1.0,433,0,0,433,0,0.0,,"{'name': 'nlu_ms<2400', 'unmatched_only': True, 'exclude_lirf': True, 'ms_max': 2400, 'ms_min': 0}"
LFPG_ms<2400,238,2,0,238,2,0.0,0.0,40,2,2,38,0,0.05,1.0,15,0,0,15,0,0.0,,"{'name': 'LFPG_ms<2400', 'unmatched_only': True, 'exclude_lirf': True, 'airports': ['LFPG'], 'ms_max': 2400, 'ms_min': 0}"
EJU_ms<2400,23,2,0,23,2,0.0,0.0,5,2,2,3,0,0.4,1.0,5,0,0,5,0,0.0,,"{'name': 'EJU_ms<2400', 'unmatched_only': True, 'exclude_lirf': True, 'prefixes': ['EJU'], 'ms_max': 2400, 'ms_min': 0}"
LFPG_EJU_ms<2400,6,2,0,6,2,0.0,0.0,2,2,2,0,0,1.0,1.0,2,0,0,2,0,0.0,,"{'name': 'LFPG_EJU_ms<2400', 'unmatched_only': True, 'exclude_lirf': True, 'airports': ['LFPG'], 'prefixes': ['EJU'], 'ms_max': 2400, 'ms_min': 0}"
nlu_ms<3600,4934,2,1,4933,1,0.00020267531414673692,0.5,982,2,2,980,0,0.002036659877800407,1.0,483,0,0,483,0,0.0,,"{'name': 'nlu_ms<3600', 'unmatched_only': True, 'exclude_lirf': True, 'ms_max': 3600, 'ms_min': 0}"
LFPG_ms<3600,310,2,0,310,2,0.0,0.0,55,2,2,53,0,0.03636363636363636,1.0,31,0,0,31,0,0.0,,"{'name': 'LFPG_ms<3600', 'unmatched_only': True, 'exclude_lirf': True, 'airports': ['LFPG'], 'ms_max': 3600, 'ms_min': 0}"
EJU_ms<3600,33,2,0,33,2,0.0,0.0,6,2,2,4,0,0.3333333333333333,1.0,6,0,0,6,0,0.0,,"{'name': 'EJU_ms<3600', 'unmatched_only': True, 'exclude_lirf': True, 'prefixes': ['EJU'], 'ms_max': 3600, 'ms_min': 0}"
LFPG_EJU_ms<3600,8,2,0,8,2,0.0,0.0,3,2,2,1,0,0.6666666666666666,1.0,2,0,0,2,0,0.0,,"{'name': 'LFPG_EJU_ms<3600', 'unmatched_only': True, 'exclude_lirf': True, 'airports': ['LFPG'], 'prefixes': ['EJU'], 'ms_max': 3600, 'ms_min': 0}"
nlu_ms<5400,8518,2,1,8517,1,0.00011739845034045551,0.5,2135,2,2,2133,0,0.000936768149882904,1.0,769,0,0,769,0,0.0,,"{'name': 'nlu_ms<5400', 'unmatched_only': True, 'exclude_lirf': True, 'ms_max': 5400, 'ms_min': 0}"
LFPG_ms<5400,1136,2,0,1136,2,0.0,0.0,303,2,2,301,0,0.006600660066006601,1.0,99,0,0,99,0,0.0,,"{'name': 'LFPG_ms<5400', 'unmatched_only': True, 'exclude_lirf': True, 'airports': ['LFPG'], 'ms_max': 5400, 'ms_min': 0}"
EJU_ms<5400,136,2,0,136,2,0.0,0.0,27,2,2,25,0,0.07407407407407407,1.0,18,0,0,18,0,0.0,,"{'name': 'EJU_ms<5400', 'unmatched_only': True, 'exclude_lirf': True, 'prefixes': ['EJU'], 'ms_max': 5400, 'ms_min': 0}"
LFPG_EJU_ms<5400,41,2,0,41,2,0.0,0.0,8,2,2,6,0,0.25,1.0,7,0,0,7,0,0.0,,"{'name': 'LFPG_EJU_ms<5400', 'unmatched_only': True, 'exclude_lirf': True, 'airports': ['LFPG'], 'prefixes': ['EJU'], 'ms_max': 5400, 'ms_min': 0}"
nlu_ms<7200,12333,2,1,12332,1,8.108327252087895e-05,0.5,3597,2,2,3595,0,0.0005560189046427579,1.0,1134,0,0,1134,0,0.0,,"{'name': 'nlu_ms<7200', 'unmatched_only': True, 'exclude_lirf': True, 'ms_max': 7200, 'ms_min': 0}"
LFPG_ms<7200,2115,2,0,2115,2,0.0,0.0,658,2,2,656,0,0.00303951367781155,1.0,192,0,0,192,0,0.0,,"{'name': 'LFPG_ms<7200', 'unmatched_only': True, 'exclude_lirf': True, 'airports': ['LFPG'], 'ms_max': 7200, 'ms_min': 0}"
