ades,n,p_raw,med_y,p_hat
LLBG,84,0.6785714285714286,5693.5,0.6670339528443552
LEBL,35,0.17142857142857143,1018.0,0.2600264792748752
EIDW,33,0.18181818181818182,1210.0,0.2721207341248694
EGKK,28,0.21428571428571427,1317.0,0.3079260938781417
LIRF,27,0.1111111111111111,602.0,0.235167339658632
LGAV,22,0.13636363636363635,900.5,0.2719122364802933
LIMC,22,0.9545454545454546,8611.5,0.8344122364802933
LMML,21,1.0,7620.0,0.8613287602377221
LPPT,21,0.14285714285714285,832.0,0.2806835989473995
EBBR,21,0.6190476190476191,7854.0,0.6032642441086898
EDDF,20,0.15,905.0,0.29003971891231284
LROP,19,0.7368421052631579,7189.0,0.679351433357565
LTFJ,18,0.9444444444444444,6871.5,0.8107568416917638
LICC,18,0.5555555555555556,2309.5,0.5607568416917638
LEMD,18,0.2777777777777778,928.0,0.38218541312033516
RKSI,17,1.0,8932.0,0.8407848728655328
EPWA,17,0.6470588235294118,9480.0,0.6185626506433105
EHAM,16,0.0,755.5,0.21927659874497638
LEVC,16,0.3125,966.0,0.41158429105266864
HELX,15,1.0,9369.0,0.8280476626947754
