flt_prefix,n,p_raw,med_y,p_hat
RYR,162,0.37037037037037035,1204.0,0.3819836719033104
WMT,132,0.5378787878787878,5453.5,0.5401492363899253
ITY,61,0.22950819672131148,1087.0,0.2774815713713998
NA,60,0.5333333333333333,1859.5,0.5385884509624198
ISR,51,0.9803921568627451,6670.0,0.913134287989662
WZZ,43,0.813953488372093,7202.0,0.7679470107050828
AEZ,41,0.8292682926829268,6421.0,0.778454736615086
EJU,31,0.12903225806451613,893.0,0.23661442847242403
NOS,25,0.8,7848.0,0.7343197590676968
ETH,22,0.9545454545454546,6602.0,0.8344122364802933
EXS,21,0.8571428571428571,7310.0,0.764554566689335
TWB,17,1.0,8932.0,0.8407848728655328
VLG,17,0.23529411764705882,970.0,0.3593033913840513
KMM,17,1.0,7620.0,0.8407848728655328
EZY,16,0.125,1177.0,0.2961996756680533
TKJ,16,1.0,6904.0,0.8346612141295917
BEL,15,0.8666666666666667,7919.0,0.7480476626947754
LAV,15,1.0,7138.0,0.8280476626947754
EIN,14,0.14285714285714285,1119.5,0.3208829819737244
UAL,12,0.75,3113.5,0.668235980334972
