hour,n,rmse,mae,resid_mean,resid_median,mean_y,mean_ms,med_y,med_ms
0,3,7377.959315872287,4261.0,-4261.0,-3.0,13437.666666666666,17698.666666666668,898.0,13561.0
1,1,2.0,2.0,2.0,2.0,5884.0,5882.0,5884.0,5882.0
3,1,3.0,3.0,3.0,3.0,5586.0,5583.0,5586.0,5583.0
4,1,1.0,1.0,1.0,1.0,5341.0,5340.0,5341.0,5340.0
5,1,4.0,4.0,-4.0,-4.0,6292.0,6296.0,6292.0,6296.0
6,2,4575.304142895858,4532.0,-4532.0,-4532.0,926.0,5458.0,926.0,5458.0
7,1,2.0,2.0,2.0,2.0,10264.0,10262.0,10264.0,10262.0
8,3,3813.425100877163,3100.3333333333335,-3100.3333333333335,-4196.0,698.6666666666666,3799.0,597.0,5283.0
9,2,6571.109837767133,6481.5,-6481.5,-6481.5,806.5,7288.0,806.5,7288.0
10,4,4.415880433163924,4.0,1.0,1.5,10456.25,10455.25,10553.0,10556.0
11,7,3831.2123221172246,2049.5714285714284,-2045.857142857143,1.0,11062.0,13107.857142857143,6727.0,7984.0
12,3,2772.438036578395,1603.3333333333333,-1601.3333333333333,-5.0,5456.333333333333,7057.666666666667,7129.0,7134.0
13,5,3882.4141716205395,2942.2,-2940.6,-3777.0,3454.4,6395.0,1385.0,5162.0
14,6,1.632993161855452,1.3333333333333333,0.3333333333333333,0.5,7430.333333333333,7430.0,7050.5,7050.0
15,7,1701.2222916815679,646.1428571428571,-642.4285714285714,0.0,6188.857142857143,6831.285714285715,5510.0,5518.0
16,6,3487.3054306536824,2013.5,-2008.1666666666667,1.0,5982.666666666667,7990.833333333333,5166.0,8249.5
17,4,3.122498999199199,2.75,0.75,0.5,4666.0,4665.25,5046.5,5043.0
18,3,1108.969641904893,901.0,901.0,1196.0,30081.333333333332,29180.333333333332,1508.0,1504.0
19,2,3.5355339059327378,2.5,-2.5,-2.5,6685.0,6687.5,6685.0,6687.5
20,5,2173.9088297350468,975.2,-969.2,2.0,4864.8,5834.0,6602.0,6601.0
21,6,3.8078865529319543,3.1666666666666665,2.1666666666666665,2.0,8733.666666666666,8731.5,10144.0,10141.5
22,7,1935.9295294140081,850.8571428571429,-591.4285714285714,0.0,4447.857142857143,5039.285714285715,6011.0,6116.0
23,8,3.0618621784789726,2.375,-1.375,-1.5,11501.75,11503.125,6623.5,6626.5
