hour,n,rmse,mae,resid_mean,resid_median,mean_y,mean_ms,med_y,med_ms
0,7,4954.714796462629,1991.0,-1748.142857142857,0.0,9909.142857142857,11657.285714285714,6417.0,12536.0
1,4,3.640054944640259,2.75,0.75,0.5,16036.0,16035.25,9451.5,9450.5
3,3,15623.888269783123,9140.0,9138.0,358.0,48175.333333333336,39037.333333333336,56633.0,56636.0
4,2,4.0,4.0,-4.0,-4.0,5691.5,5695.5,5691.5,5695.5
5,5,4002.005222385398,3060.6,-3059.0,-4080.0,11197.6,14256.6,1619.0,6840.0
6,12,3977.4554889610854,2990.1666666666665,-2988.8333333333335,-3958.0,7356.75,10345.583333333334,1265.0,6450.5
7,6,5720.759375584095,4541.166666666667,-4541.166666666667,-5640.0,7317.333333333333,11858.5,1082.5,8885.5
8,15,5113.31079308374,3596.6,-3076.2,-3896.0,13702.933333333332,16779.133333333335,1321.0,6721.0
9,13,9712.80397603715,5905.2307692307695,-1037.8461538461538,-5.0,4450.0,5487.846153846154,1671.0,6781.0
10,26,5305.876904977087,4428.961538461538,-3939.423076923077,-4322.0,2620.730769230769,6560.153846153846,1317.5,6118.0
11,24,4528.793087935607,3674.0833333333335,-3277.8333333333335,-3904.0,2874.0833333333335,6151.916666666667,1374.0,5851.0
12,24,8010.133761367534,5588.208333333333,-3202.2083333333335,-4563.5,9595.125,12797.333333333334,1470.5,7349.5
13,28,7522.650468513646,6002.357142857143,-4338.785714285715,-5312.0,3246.8571428571427,7585.642857142857,1263.0,7859.0
14,40,4909.153231464668,3966.45,-3650.7,-4381.0,5749.5,9400.2,1706.5,6122.0
15,24,6095.868498417596,5070.0,-4998.833333333333,-4530.5,2499.2083333333335,7498.041666666667,1201.5,6779.5
16,10,4932.766738859643,4056.9,-971.1,-1860.0,3829.0,4800.1,1170.0,5007.5
17,28,5447.272889122724,3774.6428571428573,-2474.5,-3088.5,9982.107142857143,12456.607142857143,1590.0,6659.0
18,29,6642.652617223292,5247.172413793103,-5246.689655172414,-4857.0,2335.8275862068967,7582.517241379311,1251.0,6604.0
19,18,6515.123363716488,5375.0,-4853.555555555556,-5040.5,2749.277777777778,7602.833333333333,1080.5,7200.5
20,20,2829.113907215473,1631.2,-932.3,0.0,6750.95,7683.25,6846.0,6690.5
21,29,6054.105398191693,3974.0344827586205,-3972.103448275862,-3845.0,6186.413793103448,10158.51724137931,1622.0,8096.0
22,19,6440.31817618713,4639.578947368421,-4424.210526315789,-4804.0,5506.789473684211,9931.0,1447.0,9304.0
23,11,3382.053840762767,1021.6363636363636,-1020.9090909090909,-1.0,13350.363636363636,14371.272727272728,9350.0,12122.0
