airport,n,miss_rate,fog_rate,precip_rate,low_vis_rate,strong_wind_rate,med_vsby,med_age_min
EDDF,230141,0.0,0.01043707987711881,0.11927036034431066,0.008108072877062323,0.005826862662454756,6.21,28.0
EDDM,167334,0.0,0.03133852056366309,0.1500950195417548,0.02688037099453787,0.009155342010589599,6.21,28.0
EGLL,239546,0.0,0.003176842861078874,0.08651365499737003,0.0026967680529000693,0.008486887695891395,6.21,30.0
EHAM,247951,0.0,0.026299551120987613,0.15281245084714318,0.012687990772370348,0.03261934817766413,6.21,29.683333333333334
LEBL,179705,0.0,0.0031496062992125984,0.06738265490665257,0.003800673325728277,0.008246849002531927,6.21,29.0
LEMD,212242,0.0,0.0038022634539817755,0.06394116150432054,0.0023086853685886865,0.0017197350194589195,6.21,30.0
LFPG,239552,0.0,0.018221513491851457,0.07865515629174459,0.014360138925995192,0.012481632380443494,6.21,29.0
LIRF,160704,0.000043558343289526084,0.008730336519315015,0.05395634209478296,0.0011325169255276782,0.004162933094384707,6.21,30.0
LSZH,134907,0.0,0.04881140341123885,0.1674486868731793,0.024379757907299102,0.0017419407443646363,6.21,29.0
LTFM,272965,0.0000293077867125822,0.018405290055501622,0.10414155660982177,0.012840474053450075,0.10729214368142435,6.21,28.0
