split,model,overall,matched,unmatched,mae_matched,rmse_lt20,rmse_gt30,rmse_gt60,sse_share_gt30,sse_share_gt60,n_gt30,n_gt60,n_matched,n_unmatched
janjul,e20,368.031810091901,244.7599379161078,2214.0815038864293,150.12297412032868,170.91594849521908,774.782941196256,2361.3653400658295,0.4474522348330174,0.21275941012877966,15140,775,339046,5373
janjul,nowx_frozen,368.031810091901,244.7599379161078,2214.0815038864293,150.12297412032868,170.91594849521908,774.782941196256,2361.3653400658295,0.4474522348330174,0.21275941012877966,15140,775,339046,5373
janjul,wx_frozen,368.1229070623385,244.98989249746418,2213.447340184955,149.72451421239595,169.53857863906592,781.2852109852854,2384.25103592388,0.454140384239694,0.21649641202897765,15140,775,339046,5373
janjul,wx_nnls,368.0739122028237,244.96339478034207,2213.1100769945215,149.6100523747613,169.52119714882016,781.0480233842128,2385.563933677827,0.4539628788596533,0.21678179798830094,15140,775,339046,5373
janjul,C_nowx,370.37108447311357,248.25264208321926,2214.548196150149,153.35571883088178,174.00743113866454,782.5792384992237,2355.2449928443893,0.44374772112748634,0.20574415080530717,15140,775,339046,5373
janjul,C_wx,371.1942525851901,249.0041826276678,2218.05587734968,152.96292663230096,172.68948201675292,792.5413634081563,2399.5291486310307,0.45237421359005797,0.21226669258172146,15140,775,339046,5373
janjul,D_nowx,385.4995571596213,266.23562571806406,2247.9810039816057,162.70932814069548,183.79615196659265,852.9419764832285,2638.313146676193,0.4583253599878734,0.22447264412549076,15140,775,339046,5373
janjul,D_wx,384.99646155342947,264.59264403347333,2254.684964307808,161.54542896828053,182.87213228914297,846.7517092996322,2584.908721415608,0.4573238825272433,0.21816142860369403,15140,775,339046,5373
janjul,E_nowx,370.52142416898823,247.75541988551927,2219.6680580289785,150.77980914647827,172.8930748916722,781.692643953945,2390.0663510925624,0.44452170616393033,0.2127240853766064,15140,775,339046,5373
janjul,E_wx,370.1593595120171,247.73448302245941,2215.940082061823,150.55538634023688,171.6015054104252,786.0110205773962,2399.6464645132664,0.44952266850806294,0.21446907526591058,15140,775,339046,5373
dec,e20,228.69306572222,214.77773031245044,816.1750571876744,140.71771119897844,151.46060821793455,672.6078023682101,2031.740513336754,0.37936646822674,0.10365579703708515,6345,190,164028,1649
dec,nowx_frozen,228.69306572222,214.77773031245044,816.1750571876744,140.71771119897844,151.46060821793455,672.6078023682101,2031.740513336754,0.37936646822674,0.10365579703708515,6345,190,164028,1649
dec,wx_frozen,221.77592343130837,208.00043259691543,798.8065202988213,137.8435809828651,153.6046466027944,619.3699088479634,1983.6746699237847,0.3429930850173915,0.10535327254421542,6345,190,164028,1649
dec,wx_nnls,221.7110992619712,207.92601878366543,798.9256181330095,137.74735660173863,153.5855105133253,618.5241324605532,1981.3513284764406,0.3423018594550461,0.10518187685724949,6345,190,164028,1649
dec,C_nowx,232.3717369961108,218.56120475263313,820.6496308121473,143.1161179794038,153.44590552114784,689.7019948196835,2051.518656857339,0.3852036993021411,0.10205643679652467,6345,190,164028,1649
dec,C_wx,225.486143409474,211.864203298714,802.1531239451041,140.5151133066144,156.09398986405967,635.5963095151864,2022.5002064928487,0.34814583356865403,0.10555956506408579,6345,190,164028,1649
dec,D_nowx,246.17168136714238,232.70029183832796,838.0311596501624,152.0442304824871,162.67842850620488,738.1598673959809,2259.061662035657,0.3892428467559459,0.10916864657716689,6345,190,164028,1649
dec,D_wx,236.86401170622622,223.25131903167443,824.0954406932466,147.94050049657267,162.43674554325648,682.351596086978,2149.9070906715046,0.36136159407127477,0.10742044039141037,6345,190,164028,1649
dec,E_nowx,229.93783792056882,215.90443472909257,821.724575762576,141.1519126354839,153.8473353131992,665.1975317807661,2026.3348740745994,0.36719078124334065,0.10203165314923553,6345,190,164028,1649
dec,E_wx,224.03190201266293,209.89397462223863,812.6668599002994,138.4637005487807,155.98943076964193,615.2237586580594,1970.1906316004906,0.33233791513092686,0.10205920182724204,6345,190,164028,1649
