split,model,overall,matched,unmatched,mae_matched,rmse_lt20,rmse_gt30,rmse_gt60,sse_share_gt30,sse_share_gt60,resid_mean_matched,n_gt30,n_gt60
janjul,L2,372.3646118481625,250.97845615746274,2216.589114920439,155.03054878156226,173.95089483943363,798.5993762978367,2402.396442190914,0.45211851918975343,0.20943995820550587,-6.3885565503056965,15140,775
janjul,Q10,467.2469508628878,376.26321097232386,2249.6916481686553,236.1732563283778,193.4125371607124,1313.533172220031,3500.256391436417,0.5442091324033334,0.1978150259383144,217.88189139795216,15140,775
janjul,Q50,380.89609543975126,263.00964626755234,2221.4856793717186,153.62588585931402,162.44235849759554,910.0072677182595,2771.005191483437,0.5345811210436324,0.253731508815885,16.918968322290358,15140,775
janjul,Q90,456.325654819547,363.75572255223364,2235.754666317468,271.434807334548,339.6386046638273,686.3758270445006,2105.271805549363,0.15899063414871717,0.07656666966208987,-236.89533995850906,15140,775
janjul,E20,368.031810091901,244.7599379161078,2214.0815038864293,150.12297412032868,170.91594849521908,774.782941196256,2361.3653400658295,0.4474522348330174,0.21275941012877966,-7.510685386474977,15140,775
janjul,Qblend,378.91542247718553,260.7909953037709,2216.272078062748,169.47216983189134,207.51756455580193,738.0493901807341,2299.301553842475,0.35764562596846133,0.17768458793400504,-68.15348417593478,15140,775
janjul,E20+Q50,368.0318196831848,244.76022481179214,2214.079604780043,150.12395368986384,170.91637449482587,774.7840259118966,2361.359650772031,0.4474524387581531,0.21275788614821195,-7.511263751466731,15140,775
dec,L2,238.01080378154546,223.94672968213587,838.399660038236,145.8349471497552,154.07360038300783,716.1747999441075,2114.6074657998856,0.3956054428856888,0.10327749230259275,20.575250465690456,6345,190
dec,Q10,351.2462936068243,340.21423319289875,939.235613844111,232.29366093920913,198.93523908529568,1126.9423391547916,3069.884051042256,0.42443586078539114,0.09431366005212675,217.84425636063142,6345,190
dec,Q50,246.79474021174815,232.68366978548846,856.6943051951148,145.92183173710853,147.50507189741222,797.3590574601006,2432.9646365578965,0.4542445143359335,0.12664131018588162,38.078604008664165,6345,190
dec,Q90,317.3005313390537,307.7461764001542,833.4947240029653,231.3337775026421,292.83672753855774,549.3222521104676,1736.1032907890524,0.12324879708216782,0.036863910287845844,-193.62616093664883,6345,190
dec,E20,228.69306572222,214.77773031245044,816.1750571876744,140.71771119897844,151.46060821793455,672.6078023682101,2031.740513336754,0.37936646822674,0.10365579703708515,14.889654642761567,6345,190
dec,Qblend,238.43210165739123,224.8594789766319,826.0344286965102,152.167217107225,178.060186703038,642.6274037247654,1990.0139067448035,0.3159437143095054,0.09072467771665725,-36.82060781212821,6345,190
dec,E20+Q50,228.69402497195927,214.77877584311113,816.1746942905982,140.71849027938242,151.46051657843344,672.6168714111419,2031.752910871056,0.3793730050399736,0.10365605285065142,14.890368052116713,6345,190
