variant,split,n,n_matched,n_unmatched,rmse,mae,matched,mae_matched,unmatched,lirf_unmatched,nlu_unmatched,sse
full,janjul,344419,339046,5373,473.6143067824133,221.94422783348935,386.4206356239855,215.68322152013977,2226.2726476039825,6032.69683773519,1564.6538839136992,77256802090.96692
full,dec,165677,164028,1649,311.23448530835066,196.38578820191873,300.2635688646267,194.62919010193423,874.178881813744,2786.1434163308313,607.996480299147,16048618194.030571
no_floor,janjul,344419,339046,5373,398.53622078423996,160.48293455946578,287.7565581094982,153.24792610846723,2226.2726476039825,6032.69683773519,1564.6538839136992,54704455270.25971
no_floor,dec,165677,164028,1649,235.01994237474932,146.84155458082495,219.33340075418073,144.58688029115822,874.178881813744,2786.1434163308313,607.996480299147,9151065267.515495
raw_target,janjul,344419,339046,5373,394.0138912720295,160.18005691447613,281.35895956653985,152.94024863812493,2226.2726476039825,6032.69683773519,1564.6538839136992,53469998071.86231
raw_target,dec,165677,164028,1649,232.83103798613908,146.5037893047982,216.9625874886743,144.24571940621001,874.178881813744,2786.1434163308313,607.996480299147,8981398589.054033
pooled,janjul,344419,339046,5373,479.7921377535816,221.34636261747175,394.08657991548796,215.0758816906313,2226.2726476039825,6032.69683773519,1564.6538839136992,79285424442.44583
pooled,dec,165677,164028,1649,313.32520647043964,194.46759334888583,302.45184438352015,192.69171132595733,874.178881813744,2786.1434163308313,607.996480299147,16264955934.359297
no_enc,janjul,344419,339046,5373,484.3191990866734,224.4687500213366,399.672354656023,218.2477508389229,2226.2726476039825,6032.69683773519,1564.6538839136992,80788672563.04819
no_enc,dec,165677,164028,1649,309.3748502865373,195.987551103506,298.3161100396719,194.22694946159393,874.178881813744,2786.1434163308313,607.996480299147,15857409232.558973
