airport,feature,gain
EDDF,STAND_mvt,469742.305598259
EDDF,aobt_eobt,448493.56542396545
EDDF,ADES_mvt,336795.0247397423
EDDF,mvt_aobt,278387.5326099396
EDDF,mvt_sched,203375.67419052124
EDDF,AIRCRAFT_TYPE_mvt,166540.39375209808
EDDF,AIRCRAFT_OPERATOR_flt,158326.6684436798
EDDF,floor_n,76749.44604635239
EDDF,dep_rwy_aobt_15m,65235.90632867813
EDDF,floor,54872.95790672302
EDDF,dep_rwy_aobt_10m,47796.18627691269
EDDF,enc_stand_hour,41024.73058748245
EDDF,aobt_lobt,33974.0525636673
EDDF,hour,32895.082184791565
EDDF,aobt_iobt,24789.894301891327
EDDF,enc_stand_rwy,23081.048414707184
EDDF,RUNWAY_mvt,12178.337162971497
EDDF,month,11007.659563064575
EDDF,enc_operator,9861.618069171906
EDDF,aobt_sched,9507.983308315277
EDDF,enc_n_operator,6470.462049007416
EDDF,enc_n_stand_rwy,6041.146440982819
EDDF,enc_n_stand_hour,5587.580839633942
EDDF,WK_TBL_CAT_flt,5276.160736083984
EDDF,hour_bucket,4353.11124420166
EDDF,arr_other_rwy_15m,4060.6135087013245
EDDF,dow,3831.0749077796936
EDDF,arr_other_rwy_10m,3826.644636631012
EDDF,arr_rwy_15m,1089.3426942825317
EDDF,arr_rwy_10m,737.7714958190918
EDDM,aobt_eobt,695267.7977876663
EDDM,STAND_mvt,291645.2840394974
EDDM,ADES_mvt,219792.15007019043
EDDM,mvt_aobt,169984.33721256256
EDDM,AIRCRAFT_TYPE_mvt,157358.1823015213
EDDM,aobt_iobt,55423.10700130463
EDDM,AIRCRAFT_OPERATOR_flt,53715.39526462555
EDDM,mvt_sched,51309.89134693146
EDDM,floor,44030.55384540558
EDDM,aobt_lobt,41672.48016452789
EDDM,floor_n,30093.366453170776
EDDM,dep_rwy_aobt_10m,27441.64311504364
EDDM,month,20970.39481163025
EDDM,enc_operator,16127.85827255249
EDDM,hour,15184.782749176025
EDDM,enc_stand_rwy,9729.812463760376
EDDM,aobt_sched,6580.616211891174
EDDM,dep_rwy_aobt_15m,6332.1144189834595
EDDM,RUNWAY_mvt,5289.075026512146
EDDM,WK_TBL_CAT_flt,4668.803966522217
EDDM,enc_n_stand_hour,4159.236686706543
EDDM,enc_n_stand_rwy,3731.5541276931763
EDDM,dow,3550.2635192871094
EDDM,MARKET_SEGMENT_flt,3382.449902534485
EDDM,enc_n_operator,3317.8001079559326
EDDM,enc_stand_hour,2822.730944633484
EDDM,FLIGHT_TYPE_flt,2561.7993774414062
EDDM,arr_other_rwy_10m,1933.9717998504639
EDDM,arr_rwy_10m,1885.551791191101
EDDM,hour_bucket,1381.7233982086182
EGLL,mvt_aobt,1086588.7586164474
EGLL,mvt_sched,916941.9679288864
EGLL,aobt_eobt,542695.568561554
EGLL,STAND_mvt,356065.71334552765
EGLL,ADES_mvt,237247.84832572937
EGLL,floor,143141.56064987183
EGLL,hour,121241.11578559875
EGLL,AIRCRAFT_OPERATOR_flt,70439.97338581085
EGLL,aobt_iobt,58209.847412109375
EGLL,aobt_lobt,52631.33563041687
EGLL,aobt_sched,45677.87664413452
EGLL,dep_rwy_aobt_15m,41592.74828052521
EGLL,AIRCRAFT_TYPE_mvt,14095.270707130432
EGLL,enc_stand_rwy,12330.179993629456
EGLL,month,8205.288412094116
EGLL,enc_n_stand_hour,7396.816953659058
EGLL,floor_n,6887.67268371582
EGLL,dep_rwy_aobt_10m,5360.314302444458
EGLL,hour_bucket,5123.537145614624
EGLL,enc_n_stand_rwy,4890.66881942749
EGLL,enc_stand_hour,2780.7082986831665
EGLL,arr_rwy_10m,2704.417580604553
EGLL,arr_other_rwy_15m,2361.037702560425
EGLL,enc_n_operator,2328.560800552368
EGLL,WK_TBL_CAT_flt,2231.7845420837402
EGLL,arr_rwy_15m,2060.523292541504
EGLL,arr_other_rwy_10m,1666.0254096984863
EGLL,dow,1607.269902229309
EGLL,enc_operator,1256.9369220733643
EGLL,RUNWAY_mvt,804.056713104248
EHAM,mvt_aobt,520572.9807510376
EHAM,STAND_mvt,400661.47626304626
EHAM,ADES_mvt,341360.96204662323
EHAM,aobt_eobt,245260.64395141602
EHAM,AIRCRAFT_OPERATOR_flt,184667.2282075882
EHAM,AIRCRAFT_TYPE_mvt,116019.5360250473
EHAM,floor,106799.28220748901
EHAM,mvt_sched,106370.73630619049
EHAM,dep_rwy_aobt_15m,49869.32178688049
EHAM,RUNWAY_mvt,33672.91741371155
EHAM,dep_rwy_aobt_10m,33499.820410728455
EHAM,aobt_lobt,30864.23440361023
EHAM,enc_operator,24027.55754184723
EHAM,month,22921.90169620514
EHAM,aobt_iobt,21776.348523139954
EHAM,hour,14467.334089279175
EHAM,enc_stand_rwy,14304.200876235962
EHAM,floor_n,12304.747373580933
EHAM,enc_n_operator,8833.218118667603
EHAM,aobt_sched,8678.688597679138
EHAM,enc_n_stand_rwy,6432.691404342651
EHAM,arr_other_rwy_15m,4306.589373588562
EHAM,enc_stand_hour,3523.2698669433594
EHAM,enc_n_stand_hour,2972.553310394287
EHAM,arr_other_rwy_10m,2935.48970413208
EHAM,dow,1493.0775985717773
EHAM,MARKET_SEGMENT_flt,1404.415111541748
EHAM,hour_bucket,1250.9511184692383
EHAM,arr_rwy_15m,754.1469993591309
EHAM,FLIGHT_TYPE_flt,549.4541034698486
LEBL,aobt_eobt,415262.50714969635
LEBL,STAND_mvt,281452.74254894257
LEBL,mvt_sched,275104.2874612808
LEBL,ADES_mvt,203087.8646440506
LEBL,AIRCRAFT_OPERATOR_flt,128449.13422012329
LEBL,enc_stand_hour,113286.3584933281
LEBL,dep_rwy_aobt_15m,84224.2362446785
LEBL,hour,62417.70873880386
LEBL,floor_n,58015.00395107269
LEBL,aobt_lobt,50185.728313446045
LEBL,floor,48740.50317144394
LEBL,mvt_aobt,42567.41571140289
LEBL,RUNWAY_mvt,31644.663409233093
LEBL,aobt_iobt,29727.451844215393
LEBL,AIRCRAFT_TYPE_mvt,29355.19112443924
LEBL,aobt_sched,23966.613701820374
LEBL,dep_rwy_aobt_10m,21234.153157234192
LEBL,enc_stand_rwy,20710.60950088501
LEBL,enc_n_stand_hour,14977.879101753235
LEBL,arr_other_rwy_15m,12705.094938278198
LEBL,month,11236.328886985779
LEBL,FLIGHT_TYPE_flt,7989.586559295654
LEBL,enc_n_stand_rwy,7274.501949310303
LEBL,hour_bucket,6820.2206172943115
LEBL,enc_operator,5467.506324768066
LEBL,arr_other_rwy_10m,5150.330319404602
LEBL,enc_n_operator,4500.891551017761
LEBL,dow,4207.76377248764
LEBL,arr_rwy_15m,2434.8851013183594
LEBL,arr_rwy_10m,1304.3047075271606
LEMD,aobt_eobt,633247.2932043076
LEMD,STAND_mvt,584073.17461586
LEMD,AIRCRAFT_OPERATOR_flt,300672.8273091316
LEMD,ADES_mvt,245275.67447853088
LEMD,mvt_aobt,171658.10219717026
LEMD,mvt_sched,147224.4259004593
LEMD,floor_n,91142.82260036469
LEMD,AIRCRAFT_TYPE_mvt,78919.38036823273
LEMD,floor,37189.268201828
LEMD,dep_rwy_aobt_10m,35652.322600364685
LEMD,enc_n_stand_rwy,32816.52358055115
LEMD,aobt_iobt,30101.501593589783
LEMD,enc_stand_hour,28128.970940589905
LEMD,month,25825.172159194946
LEMD,enc_stand_rwy,22771.55414581299
LEMD,aobt_lobt,22237.530314445496
LEMD,hour,18539.744627952576
LEMD,aobt_sched,18185.594472885132
LEMD,dep_rwy_aobt_15m,11061.841269493103
LEMD,RUNWAY_mvt,10291.369702339172
LEMD,enc_n_operator,8542.355124473572
LEMD,enc_operator,5631.875619888306
LEMD,enc_n_stand_hour,5216.068787574768
LEMD,arr_other_rwy_15m,2251.0768003463745
LEMD,hour_bucket,2154.0671796798706
LEMD,dow,1798.5549983978271
LEMD,arr_other_rwy_10m,1629.981430053711
LEMD,FLIGHT_TYPE_flt,660.2959089279175
LEMD,MARKET_SEGMENT_flt,63.89080047607422
LEMD,is_holiday,30.864299774169922
LFPG,mvt_aobt,496858.72638607025
LFPG,mvt_sched,470120.79405879974
LFPG,STAND_mvt,433152.81767749786
LFPG,aobt_eobt,317753.97880268097
LFPG,ADES_mvt,287550.5589647293
LFPG,AIRCRAFT_OPERATOR_flt,111734.9229927063
LFPG,aobt_iobt,110327.53640174866
LFPG,dep_rwy_aobt_15m,80239.00762176514
LFPG,AIRCRAFT_TYPE_mvt,71511.35665035248
LFPG,floor_n,50192.87488079071
LFPG,dep_rwy_aobt_10m,49731.347385406494
LFPG,aobt_lobt,48897.22582244873
LFPG,floor,47696.049595832825
LFPG,enc_stand_rwy,47576.31611537933
LFPG,hour,42564.90018749237
LFPG,month,24258.88404560089
LFPG,aobt_sched,10120.3625831604
LFPG,RUNWAY_mvt,10095.597444534302
LFPG,enc_n_stand_rwy,8891.211097717285
LFPG,enc_n_stand_hour,8026.200009346008
LFPG,enc_n_operator,4994.5659856796265
LFPG,enc_stand_hour,4354.230286598206
LFPG,enc_operator,3654.6728048324585
LFPG,hour_bucket,3371.355218887329
LFPG,MARKET_SEGMENT_flt,2942.5251865386963
LFPG,arr_rwy_15m,2925.131999015808
LFPG,dow,2419.0824003219604
LFPG,arr_rwy_10m,1645.216012954712
LFPG,arr_other_rwy_15m,1263.0889978408813
LFPG,arr_other_rwy_10m,957.7523994445801
LIRF,aobt_eobt,706909.296503067
LIRF,AIRCRAFT_OPERATOR_flt,288936.1729850769
LIRF,ADES_mvt,229374.04678726196
LIRF,mvt_sched,202171.35356330872
LIRF,STAND_mvt,179317.91062927246
LIRF,mvt_aobt,175396.55019187927
LIRF,floor,59166.63465309143
LIRF,hour,46733.58903121948
LIRF,aobt_iobt,41708.238156318665
LIRF,aobt_sched,33634.17964935303
LIRF,aobt_lobt,30758.46318435669
LIRF,AIRCRAFT_TYPE_mvt,23752.484800338745
LIRF,enc_operator,22147.992361068726
LIRF,dep_rwy_aobt_15m,20289.73188018799
LIRF,dep_rwy_aobt_10m,14854.907277107239
LIRF,month,13421.986145019531
LIRF,floor_n,8440.628477096558
LIRF,enc_n_operator,7754.12021446228
LIRF,hour_bucket,6081.723947525024
LIRF,enc_n_stand_rwy,5679.127458572388
LIRF,enc_n_stand_hour,3699.744987487793
LIRF,enc_stand_hour,3565.388698577881
LIRF,RUNWAY_mvt,3549.8858528137207
LIRF,enc_stand_rwy,1903.1068878173828
LIRF,dow,1393.585105895996
LIRF,arr_other_rwy_15m,1291.0610027313232
LIRF,arr_other_rwy_10m,1270.3410968780518
LIRF,WK_TBL_CAT_flt,261.0959930419922
LIRF,is_holiday,238.9903964996338
LIRF,arr_rwy_10m,170.81419944763184
LSZH,aobt_eobt,429307.2998943329
LSZH,STAND_mvt,191061.4360961914
LSZH,ADES_mvt,164348.6915512085
LSZH,AIRCRAFT_TYPE_mvt,84682.9107913971
LSZH,AIRCRAFT_OPERATOR_flt,76620.57572364807
LSZH,aobt_lobt,68161.14775466919
LSZH,mvt_aobt,66079.13506889343
LSZH,aobt_iobt,61613.357378959656
LSZH,dep_rwy_aobt_10m,53396.9030380249
LSZH,dep_rwy_aobt_15m,37527.6268825531
LSZH,floor_n,33651.644899368286
LSZH,floor,20195.65149497986
LSZH,hour,16709.079496383667
LSZH,enc_stand_hour,14977.69924736023
LSZH,mvt_sched,13702.227006912231
LSZH,aobt_sched,10543.53603553772
LSZH,month,8301.332107543945
LSZH,enc_stand_rwy,7492.3513469696045
LSZH,enc_n_stand_rwy,6624.490072250366
LSZH,enc_n_stand_hour,5218.402397155762
LSZH,arr_other_rwy_15m,4538.851007461548
LSZH,RUNWAY_mvt,3060.7359924316406
LSZH,enc_operator,2988.887544631958
LSZH,enc_n_operator,2270.2792072296143
LSZH,dow,1661.4472045898438
LSZH,arr_other_rwy_10m,1105.4008026123047
LSZH,hour_bucket,1012.0367050170898
LSZH,MARKET_SEGMENT_flt,196.98130226135254
LSZH,FLIGHT_TYPE_flt,21.773799896240234
LSZH,is_holiday,0.0
LTFM,mvt_sched,802853.7279529572
LTFM,STAND_mvt,606277.8296451569
LTFM,aobt_iobt,521402.6232652664
LTFM,ADES_mvt,480399.31960392
