iter	RMSE
0	400.8159012
1	392.2244658
2	385.2539035
3	378.9237063
4	371.7531352
5	365.2704093
6	358.1665474
7	352.9979418
8	347.3375559
9	341.4085642
10	337.0307766
11	331.7144923
12	326.6763091
13	322.9389001
14	318.7117927
15	315.3318619
16	311.5382552
17	308.3938901
18	305.8308124
19	303.3476536
20	300.4617161
21	297.7430715
22	295.6674432
23	293.8273512
24	291.1220949
25	288.1402803
26	285.4926001
27	283.2992605
28	280.9159665
29	278.7133042
30	276.9889818
31	275.0153346
32	273.4215697
33	271.9192205
34	270.2966964
35	268.9100034
36	267.5824546
37	266.1550286
38	264.831421
39	263.5132133
40	262.4854275
41	261.4623043
42	260.5484997
43	259.5870346
44	258.5967896
45	257.7568853
46	257.0060045
47	256.1843454
48	255.5405223
49	254.8279486
50	254.2275493
51	253.593415
52	252.9521246
53	252.4050567
54	251.7680858
55	251.1843031
56	250.6665808
57	250.1171081
58	249.6756408
59	249.1921056
60	248.788976
61	248.4135921
62	248.0062809
63	247.6384493
64	247.2381763
65	246.9111695
66	246.5301743
67	246.2198934
68	245.860442
69	245.5632378
70	245.2522911
71	244.9601231
72	244.7265141
73	244.4522195
74	244.2154163
75	243.9747735
76	243.7061884
77	243.4877332
78	243.2665559
79	243.057597
80	242.8309581
81	242.628954
82	242.4279581
83	242.2381145
84	242.0431669
85	241.8761642
86	241.711106
87	241.5649613
88	241.3920523
89	241.182149
90	241.0271117
91	240.8806163
92	240.7200487
93	240.5335066
94	240.4030835
95	240.2427024
96	240.1178433
97	239.9621178
98	239.8052823
99	239.6935546
100	239.5655747
101	239.4189719
102	239.2986526
103	239.1719877
104	239.0494234
105	238.9233865
106	238.7951851
107	238.7058297
108	238.6047171
109	238.4815071
110	238.3942276
111	238.301874
112	238.2098986
113	238.1005659
114	237.9912204
115	237.8567993
116	237.7789081
117	237.6327897
118	237.5719141
119	237.4860239
120	237.3575191
121	237.2738605
122	237.1724841
123	237.0674003
124	236.9680162
125	236.8973503
126	236.7956589
127	236.7152042
128	236.6125199
129	236.5478887
130	236.474021
131	236.4183499
132	236.3280903
133	236.2333151
134	236.1489221
135	236.0687639
136	235.9974374
137	235.9333891
138	235.851514
139	235.7929947
140	235.7212173
141	235.6557469
142	235.586007
143	235.4896099
144	235.4189123
145	235.3407415
146	235.2770375
147	235.1860996
148	235.1078373
149	235.0364119
150	234.9741763
151	234.8940489
152	234.8288408
153	234.7691568
154	234.7097225
155	234.6505058
156	234.5866687
157	234.5391387
158	234.4797492
159	234.3975224
160	234.3441226
161	234.2822478
162	234.2155291
163	234.1829481
164	234.1341904
165	234.0742561
166	234.0154632
167	233.9520379
168	233.8877438
169	233.8290181
170	233.8041386
171	233.7410339
172	233.6898297
173	233.6411712
174	233.5884433
175	233.5442633
176	233.4976034
177	233.4530974
178	233.3916798
179	233.3367502
180	233.264629
181	233.2272581
182	233.1704638
183	233.113964
184	233.066016
185	233.0279801
186	232.9976519
187	232.9521695
188	232.8811794
189	232.8224871
190	232.770496
191	232.719935
192	232.6633866
193	232.6211831
194	232.5634747
195	232.5143469
196	232.4628635
197	232.4170837
198	232.3844865
199	232.3458393
200	232.2845241
201	232.2471788
202	232.2073084
203	232.1899519
204	232.1481439
205	232.1195692
206	232.0656035
207	232.0186634
208	231.9908866
209	231.9406715
210	231.9085937
211	231.8737676
212	231.8227832
213	231.7892077
214	231.7317254
215	231.6840041
216	231.6564061
217	231.6190942
218	231.577837
219	231.5339915
