iter	Passed	Remaining
0	262	57398
1	483	52708
2	690	49959
3	890	48087
4	1073	46140
5	1269	45270
6	1470	44741
7	1643	43545
8	1843	43229
9	2017	42362
10	2224	42264
11	2403	41659
12	2592	41274
13	2780	40907
14	2983	40771
15	3167	40380
16	3370	40243
17	3551	39859
18	3776	39946
19	3946	39460
20	4135	39189
21	4314	38833
22	4494	38492
23	4681	38235
24	4862	37923
25	5056	37730
26	5231	37394
27	5442	37317
28	5614	36974
29	5814	36823
30	6007	36627
31	6198	36417
32	6388	36201
33	6591	36060
34	6763	35750
35	6970	35628
36	7177	35501
37	7346	35184
38	7566	35116
39	7763	34933
40	7956	34735
41	8116	34397
42	8359	34410
43	8586	34345
44	8772	34116
45	8926	33765
46	9114	33550
47	9322	33405
48	9533	33268
49	9719	33045
50	9900	32808
51	10097	32623
52	10293	32435
53	10489	32244
54	10700	32102
55	10908	31947
56	11088	31708
57	11274	31490
58	11463	31281
59	11666	31110
60	11842	30867
61	12056	30724
62	12245	30515
63	12452	30352
64	12667	30206
65	12945	30206
66	13147	30022
67	13397	29947
68	13589	29739
69	13781	29532
70	13990	29360
71	14189	29168
72	14400	28998
73	14625	28855
74	14842	28696
75	15029	28477
76	15242	28307
77	15471	28166
78	15660	27951
79	15882	27794
80	16083	27600
81	16314	27455
82	16506	27246
83	16712	27057
84	16910	26858
85	17147	26718
86	17423	26635
87	17623	26435
88	17814	26221
89	18013	26020
90	18200	25801
91	18405	25607
92	18609	25413
93	18812	25216
94	19017	25023
95	19204	24805
96	19408	24610
97	19609	24411
98	19785	24182
99	20002	24003
100	20187	23785
101	20397	23596
102	20588	23387
103	20791	23190
104	20988	22987
105	21176	22774
106	21446	22649
107	21665	22467
108	21901	22303
109	22124	22124
110	22342	21940
111	22579	21772
112	22752	21543
113	22983	21371
114	23188	21172
115	23417	20994
116	23603	20779
117	23831	20599
118	24030	20395
119	24236	20197
120	24441	19997
121	24621	19778
122	24825	19577
123	25032	19380
124	25215	19163
125	25425	18968
126	25640	18776
127	25924	18633
128	26095	18408
129	26298	18206
130	26499	18003
131	26679	17786
132	26870	17576
133	27086	17383
134	27275	17173
135	27490	16979
136	27717	16792
137	27934	16599
138	28129	16392
139	28374	16213
140	28578	16011
141	28781	15809
142	28992	15611
143	29206	15414
144	29450	15232
145	29666	15036
146	29894	14845
147	30171	14677
148	30375	14474
149	30569	14265
150	30801	14074
151	30997	13867
152	31205	13665
153	31410	13461
154	31625	13262
155	31824	13056
156	32037	12855
157	32269	12662
158	32473	12458
159	32658	12247
160	32841	12035
161	33043	11830
162	33237	11622
163	33445	11420
164	33628	11209
165	33808	10997
166	34013	10794
167	34201	10586
168	34504	10412
169	34733	10215
170	34955	10016
171	35189	9820
172	35379	9611
173	35606	9413
174	35841	9216
175	36063	9015
176	36283	8814
177	36530	8619
178	36781	8424
179	37017	8226
180	37232	8022
181	37492	7828
182	37755	7633
183	37980	7431
184	38224	7231
185	38507	7039
186	38775	6842
187	38998	6638
188	39233	6435
189	39482	6234
190	39740	6033
191	39986	5831
192	40221	5626
193	40450	5421
194	40685	5216
195	40927	5011
196	41163	4805
197	41372	4596
198	41608	4390
199	41836	4183
200	42069	3976
201	42290	3768
202	42512	3560
203	42806	3357
204	43037	3149
205	43247	2939
206	43504	2732
207	43724	2522
208	43934	2312
209	44164	2103
210	44364	1892
211	44595	1682
212	44857	1474
213	45084	1264
214	45285	1053
215	45492	842
216	45669	631
217	45871	420
218	46095	210
219	46371	0
