split,model,feature,gain
janjul,E13,mvt_sched,488295222362.0
janjul,E13,type_null,257860241734.0
janjul,E13,STAND_mvt,119412166086.0
janjul,E13,aobt_eobt,100941186626.0
janjul,E13,mvt_aobt,86061086952.0
janjul,E13,ADES_mvt,81666910756.0
janjul,E13,RUNWAY_mvt,59988354870.0
janjul,E13,geo_mean,56321411426.0
janjul,E13,AIRCRAFT_OPERATOR_flt,46393613602.0
janjul,E13,airport,46159565984.0
janjul,E13,roll10_mean_mvt_aobt,41300478260.0
janjul,E13,dep_60m,24975923602.0
janjul,E13,hour,24761930212.0
janjul,E13,queue_rwy,17901652274.0
janjul,E13,month,16394204536.0
janjul,E13,dep_15m,10722311040.0
janjul,E13,queue,9753974718.0
janjul,E13,dow,8249713024.0
janjul,E13,AIRCRAFT_TYPE_mvt,8248290618.0
janjul,E13,arr_15m,7541732114.0
janjul,E14,mvt_sched,425614614542.0
janjul,E14,type_null,212674877874.0
janjul,E14,aobt_eobt,109824052136.0
janjul,E14,STAND_mvt,82329647296.0
janjul,E14,airport,69238805730.0
janjul,E14,RUNWAY_mvt,66524857844.0
janjul,E14,mvt_aobt,64885515998.0
janjul,E14,ADES_mvt,63989647976.0
janjul,E14,s_taxi_mean_10m,53566238544.0
janjul,E14,AIRCRAFT_OPERATOR_flt,43804836520.0
janjul,E14,geo_mean,42645505690.0
janjul,E14,s_taxi_med_30m,39339201982.0
janjul,E14,s_taxi_p90_30m,16724695606.0
janjul,E14,roll10_mean_mvt_aobt,16011770150.0
janjul,E14,hour,15794041372.0
janjul,E14,s_taxi_std_30m,15202094522.0
janjul,E14,s_taxi_mean_30m,13977767048.0
janjul,E14,s_rwy_dep_30m,12447114122.0
janjul,E14,queue,9887631508.0
janjul,E14,month,8333491116.0
dec,E13,mvt_sched,890817107046.0
dec,E13,type_null,319595515656.0
dec,E13,STAND_mvt,100307312646.0
dec,E13,ADES_mvt,80811986854.0
dec,E13,aobt_eobt,80798210816.0
dec,E13,RUNWAY_mvt,61748086744.0
dec,E13,mvt_aobt,60573605880.0
dec,E13,AIRCRAFT_OPERATOR_flt,44390951500.0
dec,E13,airport,37764173504.0
dec,E13,geo_mean,29883598100.0
dec,E13,month,27390637550.0
dec,E13,dep_60m,25939523512.0
dec,E13,roll10_mean_mvt_aobt,24859290380.0
dec,E13,hour,21043523368.0
dec,E13,queue_rwy,8183172198.0
dec,E13,AIRCRAFT_TYPE_mvt,5685693162.0
dec,E13,dow,5208199530.0
dec,E13,arr_15m,4895190744.0
dec,E13,dep_rwy_15m,3985797084.0
dec,E13,dep_15m,3971283470.0
dec,E14,mvt_sched,828038081432.0
dec,E14,type_null,267891000576.0
dec,E14,aobt_eobt,103855145788.0
dec,E14,STAND_mvt,80310937278.0
dec,E14,ADES_mvt,70584570656.0
dec,E14,RUNWAY_mvt,68691464452.0
dec,E14,airport,63913091252.0
dec,E14,mvt_aobt,62994098356.0
dec,E14,s_taxi_mean_10m,60840407556.0
dec,E14,s_taxi_med_30m,51540758480.0
dec,E14,AIRCRAFT_OPERATOR_flt,49538526026.0
dec,E14,hour,26426895738.0
dec,E14,geo_mean,22875945580.0
dec,E14,roll10_mean_mvt_aobt,13239851804.0
dec,E14,s_rwy_dep_30m,12666783612.0
dec,E14,s_arr_60m,11715968840.0
dec,E14,month,10850419688.0
dec,E14,s_taxi_p90_30m,9918536778.0
dec,E14,queue_rwy,9118689854.0
dec,E14,queue,8773203762.0
