split,model,feature,gain,class
janjul,E17-A0,mvt_sched,470140536626.0,baseline
janjul,E17-A0,type_null,199063512002.0,baseline
janjul,E17-A0,aobt_eobt,98812457782.0,baseline
janjul,E17-A0,RUNWAY_mvt,95635360120.0,baseline
janjul,E17-A0,STAND_mvt,88007680870.0,baseline
janjul,E17-A0,ADES_mvt,67751716708.0,baseline
janjul,E17-A0,dis_state_30m,67382835442.0,e16a
janjul,E17-A0,mvt_aobt,66210357808.0,baseline
janjul,E17-A0,airport,54312675570.0,baseline
janjul,E17-A0,geo_mean,45290023686.0,baseline
janjul,E17-A0,arr_delay_mean_30m,43697835958.0,e16a
janjul,E17-A0,AIRCRAFT_OPERATOR_flt,42817454522.0,baseline
janjul,E17-A0,roll10_mean_mvt_aobt,21363481486.0,baseline
janjul,E17-A0,hour,19819433128.0,baseline
janjul,E17-A0,dis_frac20_30m,17506358342.0,e16a
janjul,E17-A0,month,15099402082.0,baseline
janjul,E17-A0,queue_rwy,12611197474.0,baseline
janjul,E17-A0,dis_state_vs_hour,11609846842.0,e16a
janjul,E17-A0,dep_60m,8172846086.0,baseline
janjul,E17-A0,queue,6661877450.0,baseline
janjul,E17-A0,AIRCRAFT_TYPE_mvt,6443298268.0,baseline
janjul,E17-A0,dow,4610427792.0,baseline
janjul,E17-A0,dis_frac30_30m,4276546650.0,e16a
janjul,E17-A0,dis_n_dly20_60m,3358200088.0,e16a
janjul,E17-A0,dep_15m,2932373676.0,baseline
janjul,E17-A0,arr_15m,2389550168.0,baseline
janjul,E17-A0,dep_rwy_15m,2005535730.0,baseline
janjul,E17-A0,MARKET_SEGMENT_flt,436417426.0,baseline
janjul,E17-A0,WK_TBL_CAT_flt,12963800.0,baseline
janjul,E17-A0,unmatched,0.0,baseline
janjul,E17-A1,mvt_sched,471021145926.0,baseline
janjul,E17-A1,type_null,218670221610.0,baseline
janjul,E17-A1,aobt_eobt,114126776122.0,baseline
janjul,E17-A1,STAND_mvt,102864267972.0,baseline
janjul,E17-A1,RUNWAY_mvt,88013798428.0,baseline
janjul,E17-A1,mvt_aobt,67461386914.0,baseline
janjul,E17-A1,ADES_mvt,66640392448.0,baseline
janjul,E17-A1,dis_state_30m,53334345108.0,e16a
janjul,E17-A1,geo_mean,43885639958.0,baseline
janjul,E17-A1,AIRCRAFT_OPERATOR_flt,42900301638.0,baseline
janjul,E17-A1,airport,41225610286.0,baseline
janjul,E17-A1,arr_delay_mean_30m,38051669348.0,e16a
janjul,E17-A1,hour,12731890976.0,baseline
janjul,E17-A1,rm_aobt_med_30m,12265726042.0,airport_memory
janjul,E17-A1,rm_ae_med_30m,11406002360.0,airport_memory
janjul,E17-A1,queue_rwy,10833829500.0,baseline
janjul,E17-A1,rm_sched_mean_30m,9225982642.0,airport_memory
janjul,E17-A1,dis_frac20_30m,8982855348.0,e16a
janjul,E17-A1,month,8732520320.0,baseline
janjul,E17-A1,roll10_mean_mvt_aobt,8161250722.0,baseline
janjul,E17-A1,rm_ae_mean_5m,7781614274.0,airport_memory
janjul,E17-A1,rm_aobt_mean_15m,7167691298.0,airport_memory
janjul,E17-A1,rm_aobt_mean_60m,7108230252.0,airport_memory
janjul,E17-A1,dis_state_vs_hour,6942929800.0,e16a
janjul,E17-A1,rm_sched_std_30m,6594094570.0,airport_memory
janjul,E17-A1,rm_aobt_std_30m,6561975010.0,airport_memory
janjul,E17-A1,rm_aobt_p90_30m,6555683202.0,airport_memory
janjul,E17-A1,dep_60m,6428537204.0,baseline
janjul,E17-A1,rm_ae_std_30m,6376024888.0,airport_memory
janjul,E17-A1,rm_sched_med_30m,6259297602.0,airport_memory
janjul,E17-A2,mvt_sched,423149485564.0,baseline
janjul,E17-A2,type_null,239297984708.0,baseline
janjul,E17-A2,aobt_eobt,106207227542.0,baseline
janjul,E17-A2,STAND_mvt,92081534378.0,baseline
janjul,E17-A2,airport,69787113522.0,baseline
janjul,E17-A2,ADES_mvt,64734592192.0,baseline
janjul,E17-A2,mvt_aobt,62712556192.0,baseline
janjul,E17-A2,RUNWAY_mvt,52340403484.0,baseline
janjul,E17-A2,dis_state_30m,48100554648.0,e16a
janjul,E17-A2,AIRCRAFT_OPERATOR_flt,43622317380.0,baseline
janjul,E17-A2,geo_mean,41961267964.0,baseline
janjul,E17-A2,arr_delay_mean_30m,38839514606.0,e16a
janjul,E17-A2,rm_rwy_aobt_std_30m,17301300938.0,runway_memory
janjul,E17-A2,rm_rwy_ts_dep,14772262824.0,runway_memory
janjul,E17-A2,hour,13903097818.0,baseline
janjul,E17-A2,month,10737018454.0,baseline
janjul,E17-A2,rm_ae_med_30m,10094506070.0,airport_memory
janjul,E17-A2,rm_sched_mean_30m,9470179886.0,airport_memory
janjul,E17-A2,rm_aobt_med_30m,9237772280.0,airport_memory
janjul,E17-A2,dis_frac20_30m,8205451184.0,e16a
janjul,E17-A2,rm_rwy_aobt_p90_30m,8174853890.0,runway_memory
janjul,E17-A2,rm_ae_mean_10m,7793348474.0,airport_memory
janjul,E17-A2,rm_sched_med_30m,7786796342.0,airport_memory
janjul,E17-A2,rm_ae_mean_30m,7633155760.0,airport_memory
janjul,E17-A2,queue,7444407422.0,baseline
janjul,E17-A2,queue_rwy,7237577878.0,baseline
janjul,E17-A2,dis_state_vs_hour,6301576606.0,e16a
janjul,E17-A2,AIRCRAFT_TYPE_mvt,6177802626.0,baseline
janjul,E17-A2,rm_aobt_mean_60m,6123169002.0,airport_memory
janjul,E17-A2,roll10_mean_mvt_aobt,6111107122.0,baseline
dec,E17-A0,mvt_sched,893695175718.0,baseline
dec,E17-A0,type_null,253471926654.0,baseline
dec,E17-A0,RUNWAY_mvt,114273523016.0,baseline
dec,E17-A0,aobt_eobt,111760665624.0,baseline
dec,E17-A0,STAND_mvt,104608533786.0,baseline
dec,E17-A0,ADES_mvt,92746161102.0,baseline
dec,E17-A0,mvt_aobt,75432305730.0,baseline
dec,E17-A0,airport,71745341954.0,baseline
dec,E17-A0,AIRCRAFT_OPERATOR_flt,51084496486.0,baseline
dec,E17-A0,dis_state_30m,48447504126.0,e16a
dec,E17-A0,hour,27095764372.0,baseline
