variant,feature,gain,family
E19-0,aobt_eobt,63889027104.0,baseline
E19-0,STAND_mvt,61291345820.0,baseline
E19-0,mvt_aobt,53537917666.0,baseline
E19-0,mvt_sched,53049740302.0,baseline
E19-0,AIRCRAFT_OPERATOR_flt,46893290284.0,baseline
E19-0,RUNWAY_mvt,45353727866.0,baseline
E19-0,ADES_mvt,36157363850.0,baseline
E19-0,airport,19967787562.0,baseline
E19-0,dis_state_30m,14605069374.0,e16a
E19-0,geo_mean,12769552418.0,baseline
E19-0,roll10_mean_mvt_aobt,10865579238.0,baseline
E19-0,dis_frac20_30m,9578661878.0,e16a
E19-0,month,9267538780.0,baseline
E19-0,queue_rwy,8932702818.0,baseline
E19-0,AIRCRAFT_TYPE_mvt,7794893818.0,baseline
E19-0,hour,5521385098.0,baseline
E19-0,dep_60m,5097583854.0,baseline
E19-0,queue,3751097896.0,baseline
E19-0,dis_frac30_30m,2817704668.0,e16a
E19-0,dis_state_vs_hour,2774854786.0,e16a
E19-0,dis_n_dly20_60m,2019868650.0,e16a
E19-0,dep_15m,1905092520.0,baseline
E19-0,arr_15m,1147354730.0,baseline
E19-0,dep_rwy_15m,772982210.0,baseline
E19-0,arr_delay_mean_30m,593150160.0,e16a
E19-0,dow,500156630.0,baseline
E19-0,MARKET_SEGMENT_flt,301816870.0,baseline
E19-0,WK_TBL_CAT_flt,101334560.0,baseline
E19-0,unmatched,0.0,baseline
E19-0,type_null,0.0,baseline
E19-A,aobt_eobt,68850535352.0,baseline
E19-A,STAND_mvt,64206403012.0,baseline
E19-A,mvt_sched,50809431840.0,baseline
E19-A,RUNWAY_mvt,46205890988.0,baseline
E19-A,AIRCRAFT_OPERATOR_flt,44226136022.0,baseline
E19-A,mvt_aobt,43482852592.0,baseline
E19-A,ADES_mvt,34441829028.0,baseline
E19-A,airport,19323587944.0,baseline
E19-A,geo_mean,12290841974.0,baseline
E19-A,e19_aobt_mean3,11162591948.0,E19-A
E19-A,dis_state_30m,10925680190.0,e16a
E19-A,month,7615880270.0,baseline
E19-A,e19_aobt_p90_5,7398241700.0,E19-A
E19-A,AIRCRAFT_TYPE_mvt,7370843644.0,baseline
E19-A,queue_rwy,7129820416.0,baseline
E19-A,dis_frac20_30m,6441300340.0,e16a
E19-A,e19_ae_med5,5861107912.0,E19-A
E19-A,queue,5644716442.0,baseline
E19-A,hour,5035268418.0,baseline
E19-A,dep_60m,3733021614.0,baseline
E19-A,roll10_mean_mvt_aobt,3298996386.0,baseline
E19-A,e19_sched_mean3,2538583292.0,E19-A
E19-A,e19_gap2,2058520010.0,E19-A
E19-A,dis_state_vs_hour,2003952680.0,e16a
E19-A,dis_frac30_30m,1857755024.0,e16a
E19-A,e19_gap1,1458431050.0,E19-A
E19-A,e19_aobt_p1,1433411636.0,E19-A
E19-A,e19_ae_mean3,1406297884.0,E19-A
E19-A,e19_frac_same_rwy_5,1376297960.0,E19-A
E19-A,e19_gap3,1335119710.0,E19-A
E19-A,arr_15m,1142830336.0,baseline
E19-A,dis_n_dly20_60m,1027026710.0,e16a
E19-A,e19_ae_p1,971775894.0,E19-A
E19-A,dep_15m,944874666.0,baseline
E19-A,e19_frac_same_al_5,802950866.0,E19-A
E19-A,e19_sched_p90_5,730545710.0,E19-A
E19-A,e19_ae_std5,711290050.0,E19-A
E19-A,e19_sched_p1,629415760.0,E19-A
E19-A,e19_n_dly_10,626002510.0,E19-A
E19-A,e19_gap_mean3,504728770.0,E19-A
E19-B,aobt_eobt,68071801700.0,baseline
E19-B,STAND_mvt,61687943170.0,baseline
E19-B,mvt_sched,49799514950.0,baseline
