airport,rmse0,rmseF,rmseE,tail0,tailF,sse0,sseF
EDDF,199.23111860577248,196.70912905386325,197.91737502166092,581.354394222181,582.9012967020187,1438118482.2740955,1401939757.5283325
EDDM,188.36507353048566,186.44650820431147,183.91755280541065,512.1514002670639,515.2928754723184,952817540.4707052,933506815.5211195
EGLL,256.72635478580787,258.06620430561657,257.8598587100912,561.9573116424834,570.0814166155612,2619464293.8264885,2646877501.742324
EHAM,185.9354452555708,184.98514950737118,185.81923593732267,561.9868588887937,566.0872357154901,1387754242.6576314,1373605171.811474
LEBL,226.62147446270242,225.03973315027224,224.95666972813913,601.4061234627532,604.0227275335376,1463169268.6711283,1442815693.8308902
LEMD,184.36297302264668,181.7528760693213,181.73290312145303,498.41621887814296,498.43047349636703,1190285508.1718335,1156821426.632682
LFPG,280.1304109334857,277.83737370237344,278.33467703409883,649.1681322821911,648.8421471883751,3039418061.4300013,2989862756.3389378
LIRF,451.797828992062,451.24406340822355,450.58166599489624,901.9095454284214,905.1203831230417,5333893122.785388,5320825701.614
LSZH,197.11845152352896,195.3261033471366,194.11749498707994,562.7713393356181,565.7733355568157,847908734.7430203,832559199.2495962
LTFM,259.24941715260945,253.99672196989698,253.69811074900122,552.4938126002595,552.2126408307319,3083741162.807826,2960046707.9838133
