model,janjul_overall,janjul_matched,dec_overall,dec_matched,janjul_mae_matched
A,372.36461184816244,250.9784561574627,238.01080378154495,223.94672968213567,155.03054878156206
A2,371.136750520397,249.3479116486137,233.67003900217836,220.11282341981607,152.91816802713583
B,394.6290591749913,283.0775094331846,237.51028261751654,223.62258851516287,154.82999165489912
C,370.37108447311357,248.2526420832192,232.3717369961108,218.56120475263316,153.35571883088178
D,385.4995571596213,266.23562571806406,246.1716813671424,232.70029183832796,162.7093281406955
E,370.52142416898835,247.75541988551927,229.9378379205688,215.90443472909254,150.7798091464783
E18-H,372.36461184816244,250.9784561574627,238.01080378154495,223.94672968213567,155.03054878156206
equal5,371.98774232094,250.8631281626656,232.00439410020084,218.13861180041891,151.9968732660332
A_centric,372.53801862323127,251.5678175896564,235.0150092922318,221.07339788248427,153.49698531886764
A_B_C_D,374.24571853955433,254.16356939798385,235.0401947310705,221.1583130013145,153.7236271166947
A_B_D_E,374.10784098260683,253.92521542473662,234.84747284879097,220.9198920456212,153.3418016756575
A_E,369.99393670414827,247.4897927536532,233.49670446592,219.4394629949709,152.2246234534859
nnls,368.03181968318484,244.76022481179214,228.45493585240132,214.5047813375759,150.12395368986387
ridge1,368.1745702987774,244.9292020646024,229.5978784597645,215.6626898924673,150.31465095646675
ridge10,368.1745702982509,244.9292020656691,229.59787843930047,215.66268987155763,150.3146509591278
