model,regime,rmse,mae
A,airport_EDDF,199.23111860577248,131.04090201627787
A,airport_EDDM,188.36507353048566,128.62223270331714
A,airport_EGLL,256.72635478580787,174.2687475468734
A,airport_EHAM,185.9354452555708,119.4261357403135
A,airport_LEBL,226.62147446270242,146.71343686305894
A,airport_LEMD,184.36297302264668,129.58203200714252
A,airport_LFPG,280.1304109334857,173.79645746005414
A,airport_LIRF,451.797828992062,233.6499698030293
A,airport_LSZH,197.11845152352896,129.52341163009555
A,airport_LTFM,259.24941715260945,180.01723621523882
A,matched,250.9784561574627,155.03054878156206
A,unmatched,2216.5891149204394,601.4216523650405
A,predbin1,127.69392475052791,88.50837454084557
A,predbin2,189.08166579626112,131.70847357386896
A,predbin3,309.54723450734735,212.83418854423903
A,predbin4,628.887720357431,422.897534338188
A,predbin5,2496.802417090959,1168.0834802778884
A,airport_EDDF,199.23111860577248,131.04090201627787
A,airport_EDDM,188.36507353048566,128.62223270331714
A,airport_EGLL,256.72635478580787,174.2687475468734
A,airport_EHAM,185.9354452555708,119.4261357403135
A,airport_LEBL,226.62147446270242,146.71343686305894
A,airport_LEMD,184.36297302264668,129.58203200714252
A,airport_LFPG,280.1304109334857,173.79645746005414
A,airport_LIRF,451.797828992062,233.6499698030293
A,airport_LSZH,197.11845152352896,129.52341163009555
A,airport_LTFM,259.24941715260945,180.01723621523882
A,matched,250.9784561574627,155.03054878156206
A,unmatched,2216.5891149204394,601.4216523650405
A,predbin1,127.69392475052791,88.50837454084557
A,predbin2,189.08166579626112,131.70847357386896
A,predbin3,309.54723450734735,212.83418854423903
A,predbin4,628.887720357431,422.897534338188
A,predbin5,2496.802417090959,1168.0834802778884
A2,airport_EDDF,197.06297324231147,128.1611566786478
A2,airport_EDDM,183.623187907376,125.42083921950159
A2,airport_EGLL,258.50887792804093,174.98661302649407
A2,airport_EHAM,185.41886780199883,117.8171378804874
A2,airport_LEBL,225.09200886459251,144.42452636805402
A2,airport_LEMD,181.81150143221356,127.22504609631542
A2,airport_LFPG,276.8657985174425,171.670742704322
A2,airport_LIRF,452.5786616431533,232.96697351598584
A2,airport_LSZH,195.44954190680482,128.00252451255926
A2,airport_LTFM,254.659638352667,175.468342843866
A2,matched,249.3479116486137,152.91816802713583
A2,unmatched,2215.000323996378,593.6431315301554
A2,predbin1,124.56325739154961,86.14156689659886
A2,predbin2,186.83722281812587,129.54752551075825
A2,predbin3,307.77484888296226,210.39126277202524
A2,predbin4,626.5335004367755,420.92758048192724
A2,predbin5,2493.7125725634755,1172.896541122282
B,airport_EDDF,194.6913514831535,129.56247628453457
B,airport_EDDM,184.7562207366766,125.76332241146984
B,airport_EGLL,261.838447576187,176.00256032421868
B,airport_EHAM,184.30570250239762,118.49596709998696
B,airport_LEBL,227.82909071304704,146.73112357572697
B,airport_LEMD,183.21172471560325,129.1745085761069
B,airport_LFPG,276.0634427233226,172.8370248034754
B,airport_LIRF,657.561004873347,238.58486935890286
B,airport_LSZH,188.04964440063878,127.2287074648466
B,airport_LTFM,260.5156866902441,180.07866031854093
B,matched,283.0775094331846,154.82999165489912
B,unmatched,2219.499770454472,605.9391515870493
B,predbin1,120.06907264422084,86.84272525134645
B,predbin2,187.80116808178977,130.95350418047025
B,predbin3,313.4415165020897,213.63387226800117
B,predbin4,633.3621018518002,428.8219712138547
B,predbin5,5295.919169414522,1438.9781341822063
C,airport_EDDF,197.25902899308176,129.52233374241186
C,airport_EDDM,181.21161984642282,123.81399941636427
C,airport_EGLL,254.02294264552833,172.47320620842854
C,airport_EHAM,182.14199613652332,118.02237698737287
C,airport_LEBL,225.18022466994648,146.28339158641538
C,airport_LEMD,180.8293248281376,127.66272422890283
C,airport_LFPG,279.01246975332873,172.66042504189272
C,airport_LIRF,444.54253580424034,231.7584101680125
C,airport_LSZH,195.32273603221708,126.44514914077473
C,airport_LTFM,260.178378364552,179.67009897011965
C,matched,248.2526420832192,153.35571883088178
C,unmatched,2214.548196150149,597.1528840551637
C,predbin1,128.61276088112209,87.92737167742158
C,predbin2,185.0424630127805,130.10974816631136
C,predbin3,308.87807433769717,210.65995344428484
C,predbin4,609.1004493968368,406.8732702136103
C,predbin5,2363.544603849213,1154.5736238113952
D,airport_EDDF,204.45310218980953,135.85807831631
D,airport_EDDM,191.29119502374678,131.13495825889296
D,airport_EGLL,272.93351196259823,181.7158625005887
D,airport_EHAM,194.84596732178568,126.75914513409478
D,airport_LEBL,229.4038354015633,149.53065917784104
D,airport_LEMD,191.3856298762755,134.84284962852638
D,airport_LFPG,293.1447692527281,181.74468094157183
D,airport_LIRF,505.6769203045363,263.84201229544857
D,airport_LSZH,202.6677478416079,133.24817737782095
D,airport_LTFM,270.679988516239,187.1779350681839
D,matched,266.23562571806406,162.7093281406955
D,unmatched,2247.9810039816057,670.9232624969626
D,predbin1,137.9536215442112,92.4181808441629
D,predbin2,196.0960712321861,136.37651699939812
D,predbin3,329.54832900717605,224.62893980948664
D,predbin4,688.0755164554325,454.3865172188298
D,predbin5,2297.5571842336144,1118.773354427429
E,airport_EDDF,196.13469996600284,127.10149291864228
E,airport_EDDM,173.18053283672864,116.22882550389166
E,airport_EGLL,259.9279122551658,172.74343364288274
E,airport_EHAM,181.77248900240969,115.61193346050904
E,airport_LEBL,224.3470344000546,143.9235424295205
E,airport_LEMD,178.8172752020449,125.84075873202681
E,airport_LFPG,280.2483335983167,170.47370025758326
E,airport_LIRF,444.7870424160486,229.45342147820256
E,airport_LSZH,201.37168751794988,124.60352501357391
E,airport_LTFM,253.5951270089379,175.75176239909538
E,matched,247.75541988551927,150.7798091464783
E,unmatched,2219.6680580289785,604.8623174469104
E,predbin1,127.91487473725458,86.69971577058325
E,predbin2,184.37266897891132,127.20305679078359
E,predbin3,298.51756629274286,206.2254383217421
E,predbin4,620.7030654066683,413.66001666681
E,predbin5,2402.5080223077734,1115.7261475091072
E18-H,airport_EDDF,199.23111860577248,131.04090201627787
E18-H,airport_EDDM,188.36507353048566,128.62223270331714
E18-H,airport_EGLL,256.72635478580787,174.2687475468734
E18-H,airport_EHAM,185.9354452555708,119.4261357403135
E18-H,airport_LEBL,226.62147446270242,146.71343686305894
E18-H,airport_LEMD,184.36297302264668,129.58203200714252
E18-H,airport_LFPG,280.1304109334857,173.79645746005414
E18-H,airport_LIRF,451.797828992062,233.6499698030293
E18-H,airport_LSZH,197.11845152352896,129.52341163009555
E18-H,airport_LTFM,259.24941715260945,180.01723621523882
E18-H,matched,250.9784561574627,155.03054878156206
E18-H,unmatched,2216.5891149204394,601.4216523650405
E18-H,predbin1,127.69392475052791,88.50837454084557
E18-H,predbin2,189.08166579626112,131.70847357386896
E18-H,predbin3,309.54723450734735,212.83418854423903
E18-H,predbin4,628.887720357431,422.897534338188
E18-H,predbin5,2496.802417090959,1168.0834802778884
