airport,bin,state
EDDF,5785697,1
EDDF,5785698,3
EDDF,5785699,3
EDDF,5785700,3
EDDF,5785701,3
EDDF,5785702,3
EDDF,5785703,3
EDDF,5785704,3
EDDF,5785705,3
EDDF,5785706,3
EDDF,5785707,3
EDDF,5785708,3
EDDF,5785709,3
EDDF,5785710,3
EDDF,5785711,3
EDDF,5785712,3
EDDF,5785713,3
EDDF,5785714,3
EDDF,5785715,3
EDDF,5785716,3
EDDF,5785717,3
EDDF,5785718,3
EDDF,5785719,3
EDDF,5785720,3
EDDF,5785721,3
EDDF,5785722,3
EDDF,5785723,3
EDDF,5785724,3
EDDF,5785725,3
EDDF,5785726,3
EDDF,5785727,3
EDDF,5785728,3
EDDF,5785729,3
EDDF,5785730,2
EDDF,5785731,2
EDDF,5785732,2
EDDF,5785733,2
EDDF,5785734,2
EDDF,5785735,2
EDDF,5785736,2
EDDF,5785737,2
EDDF,5785738,2
EDDF,5785739,2
EDDF,5785740,2
EDDF,5785741,2
EDDF,5785742,2
EDDF,5785743,2
EDDF,5785744,2
EDDF,5785745,2
EDDF,5785746,2
EDDF,5785747,2
EDDF,5785748,2
EDDF,5785749,2
EDDF,5785750,2
EDDF,5785751,2
EDDF,5785752,2
EDDF,5785753,2
EDDF,5785754,2
EDDF,5785755,2
EDDF,5785756,2
EDDF,5785757,2
EDDF,5785758,2
EDDF,5785759,2
EDDF,5785760,2
EDDF,5785761,2
EDDF,5785762,2
EDDF,5785763,2
EDDF,5785764,2
EDDF,5785765,2
EDDF,5785766,2
EDDF,5785767,2
EDDF,5785768,2
EDDF,5785769,2
EDDF,5785770,2
EDDF,5785771,2
EDDF,5785772,2
EDDF,5785773,2
EDDF,5785774,2
EDDF,5785775,2
EDDF,5785776,2
EDDF,5785777,2
EDDF,5785778,2
EDDF,5785779,2
EDDF,5785780,2
EDDF,5785781,2
EDDF,5785782,2
EDDF,5785783,2
EDDF,5785784,2
EDDF,5785785,2
EDDF,5785786,2
EDDF,5785787,2
EDDF,5785788,2
EDDF,5785789,2
EDDF,5785790,2
EDDF,5785791,2
EDDF,5785792,2
EDDF,5785793,2
EDDF,5785794,2
EDDF,5785795,2
EDDF,5785796,2
EDDF,5785797,0
EDDF,5785798,0
EDDF,5785799,0
EDDF,5785800,0
EDDF,5785801,0
EDDF,5785802,0
EDDF,5785803,0
